频道名,地址,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件,检测时间,状态码,ffprobe是否成功,视频编码,分辨率,帧率,音频,ffprobe探测时间,是否假源,是否轮回,轮回相似度,检测信息
解说_小川侃电影,https://live.metshop.top/huya/15870999,,,,,,,1920x1080,CCSH.txt,1240,200,成功,h264,1920x1080,25.0,有音频,2.411,否,否,0.0000,all_grab_failed
解说_冷君说电影,https://live.metshop.top/huya/16739452,,,,,,,1920x1080,CCSH.txt,3700,200,成功,h264,1920x1080,30.0,有音频,2.396,否,否,0.5000,
余姚姚江文化,http://l.cztvcloud.com/channels/lantian/SXyuyao3/720p.m3u8?zzhed,,,,,,,720x576,CCSH.txt,301,200,成功,h264,720x576,25.0,有音频,2.230,否,否,0.5312,
浙江生活,http://ali-m-l.cztv.com/channels/lantian/channel03/720p.m3u8,,,,,,,1280x720,CCSH.txt,382,200,成功,h264,1280x720,25.0,有音频,2.537,否,否,0.4948,
辽宁都市,http://120.76.248.139/live/bfgd/4200000068.m3u8,,,,,,,1280x720,CCSH.txt,3753,200,成功,h264,1280x720,25.0,有音频,4.490,否,否,0.5521,
Discovery,https://hls.iill.top/api/Discovery/playlist.m3u8,,,,,,,1280x720,CCSH.txt,3108,503,成功,h264,1280x720,25.0,有音频,4.768,否,否,0.0000,all_grab_failed
浙江舟山东极岛,https://gcalic.v.myalicdn.com/gc/djd01_1/index.m3u8,,,,,,,1280x720,CCSH.txt,315,200,成功,h264,1280x720,25.0,有音频,4.053,否,否,0.5469,
海南新闻,https://migu.188766.xyz/?migutoken=88fada24b6a4af23fe3cf515fef41431&id=hn_xwpd&type=sz,,,,,,,1280x720,CCSH.txt,45,403,成功,h264,1280x720,25.0,有音频,6.113,否,否,0.6354,
泰山白云亭悬崖,https://gcalic.v.myalicdn.com/gc/hkts02_1/index.m3u8,,,,,,,1280x720,CCSH.txt,337,200,成功,h264,1280x720,25.0,有音频,4.006,否,否,0.5990,
乌镇蓝印花布,https://gcalic.v.myalicdn.com/gc/zjwzlyhb_1/index.m3u8,,,,,,,1280x720,CCSH.txt,310,200,成功,h264,1280x720,25.0,有音频,3.858,否,否,0.6510,
缙云综合,http://l.cztvcloud.com/channels/lantian/SXjinyun1/720p.m3u8?zzhed?,,,,,,,1280x720,CCSH.txt,317,200,成功,h264,1280x720,25.0,有音频,2.975,否,否,0.6510,
开化国家公园,http://l.cztvcloud.com/channels/lantian/SXkaihua2/720p.m3u8?zzhed#http://l.cztvcloud.com/channels/lantian/SXkaihua2/720p.m3u8zzhed#http://l.cztvcloud.com/channels/lantian/SXkaihua2/720p.m3u8,,,,,,,1280x720,CCSH.txt,323,200,成功,h264,1280x720,25.0,有音频,2.513,否,否,0.5677,
新疆天山(马牙山),https://gcalic.v.myalicdn.com/gc/xjtcmys_1/index.m3u8,,,,,,,1920x1080,CCSH.txt,1828,200,成功,h264,1920x1080,25.0,有音频,5.126,否,否,0.5156,
解说_乌贼说电影,https://live.metshop.top/huya/16604522,,,,,,,1920x1080,CCSH.txt,3009,200,成功,h264,1920x1080,30.0,有音频,1.323,否,否,0.5000,
梨园,https://dxtx.hntv.tv/live/lypd.m3u8?txSecret=10c771842a0be59e8b575d765173ec96&txTime=7B923E0A&wsSecret=733db687401ff8dc97dfe54713b4fb6b&wsTime=1766692800,,,,,,,1920x1080,CCSH.txt,1880,200,成功,h264,1920x1080,25.0,有音频,5.410,否,否,0.5365,
东丰综合,http://stream5.jlntv.cn/df/sd/live.m3u8?%E5%85%B3%E6%B3%A8%E5%BE%AE%E4%BF%A1%E5%85%AC%E4%BC%97%E5%8F%B7[%E6%99%B4%E5%9B%AD],,,,,,,720x576,CCSH.txt,1419,200,成功,h264,720x576,25.0,有音频,2.740,否,否,0.5573,
泰山大观峰,https://gcalic.v.myalicdn.com/gc/taishan03_1/index.m3u8,,,,,,,1920x1080,CCSH.txt,321,200,成功,h264,1920x1080,25.0,有音频,4.598,否,否,0.5156,
CNN,https://turnerlive.warnermediacdn.com/hls/live/586495/cnngo/cnn_slate/VIDEO_0_3564000.m3u8,,,,,,,1280x720,CCSH.txt,212,200,成功,h264,1280x720,29.97002997002997,有音频,0.662,否,否,0.5521,
解说_续哥说电影,https://live.metshop.top/huya/24396472,,,,,,,1920x1080,CCSH.txt,2308,200,成功,h264,1920x1080,30.0,有音频,1.174,否,否,0.5000,
辽宁北方,http://120.76.248.139/live/bfgd/4200000071.m3u8,,,,,,,1280x720,CCSH.txt,4543,200,成功,h264,1280x720,25.0,有音频,2.991,否,否,0.5729,
青田电视,http://l.cztvcloud.com/channels/lantian/SXqingtian1/720p.m3u8?zzhed?,,,,,,,1920x1080,CCSH.txt,388,200,成功,h264,1920x1080,25.0,有音频,1.885,否,否,0.5521,
五星体育,http://cdn3.163189.xyz/163189/wxty,,,,,,,1280x720,CCSH.txt,700,200,成功,h264,1280x720,30.0,有音频,0.384,否,否,0.5000,
云南丽江玉龙雪山草甸,https://gcalic.v.myalicdn.com/gc/hkylxs06_1/index.m3u8,,,,,,,1920x1080,CCSH.txt,324,200,成功,h264,1920x1080,25.0,有音频,4.278,否,否,0.5156,
绍兴公共,https://stream1.freetv.fun/shao-xing-gong-gong-5.m3u8,,,,,,,1280x720,CCSH.txt,10,403,成功,h264,1280x720,30.0,有音频,3.556,否,否,0.5208,
浙江国际,https://stream1.freetv.fun/zhe-jiang-guo-ji-6.m3u8,,,,,,,640x360,CCSH.txt,9,403,成功,h264,640x360,25.0,有音频,3.411,否,否,0.6042,
歙县综合,https://ahlive.ahwanyun.cn/live/09c5ad9fdb8a44fbaf152b03f8402589/hls.m3u8,,,,,,,1920x1080,CCSH.txt,2316,200,成功,h264,1920x1080,30.0,有音频,8.000,否,否,0.5990,
浙江民生休闲,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8?,,,,,,,1920x1080,CCSH.txt,250,200,成功,h264,1920x1080,25.0,有音频,4.404,否,否,0.5469,
珲春新闻综合,http://stream8.jlntv.cn/hctv/sd/live.m3u8?zjild,,,,,,,720x576,CCSH.txt,1309,200,成功,h264,720x576,25.0,有音频,2.642,否,否,0.6562,
陕西新闻资讯,https://migu.188766.xyz/?migutoken=1a8a43f5665e4a517d7e1950b3778dfb&id=%E9%99%95%E8%A5%BF%E6%96%B0%E9%97%BB%E8%B5%84%E8%AE%AF%E9%A2%91%E9%81%93&type=yy,,,,,,,1280x720,CCSH.txt,52,403,成功,h264,1280x720,25.0,有音频,3.145,否,否,0.5260,
狮子山鸟瞰丽江古城,https://gcalic.v.myalicdn.com/gc/ljgcszsnkgc_1/index.m3u8,,,,,,,1280x720,CCSH.txt,326,200,成功,h264,1280x720,25.0,有音频,4.094,否,否,0.5312,
湖南电影,http://8.138.7.223/tv/mgtv.php?id=221,,,,,,,640x360,CCSH.txt,651,200,成功,h264,640x360,25.0,有音频,2.673,否,否,0.5833,
海南公共,https://migu.188766.xyz/?migutoken=958f5a690e4e6b73a3e5d400f962db58&id=hn_ggpd&type=sz,,,,,,,1920x1080,CCSH.txt,48,403,成功,h264,1920x1080,28.0,有音频,0.599,否,否,0.5000,
安徽黟县芦村远眺,https://gcalic.v.myalicdn.com/gc/yxlcyt_1/index.m3u8,,,,,,,1280x720,CCSH.txt,2031,200,成功,h264,1280x720,25.0,有音频,4.147,否,否,0.5417,
金鹰卡通,http://124.228.160.14:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0,,,,,,,720x576,CCSH.txt,549,200,成功,h264,720x576,50.0,有音频,2.155,否,否,0.5365,
洞头综合,http://l.cztvcloud.com/channels/lantian/SXdongtou1/720p.m3u8?zzhed?,,,,,,,720x540,CCSH.txt,325,200,成功,h264,720x540,25.0,有音频,2.519,否,否,0.5417,
乐山大佛全景,https://gcalic.v.myalicdn.com/gc/lsdfgfl_1/index.m3u8,,,,,,,1920x1080,CCSH.txt,331,200,成功,h264,1920x1080,25.0,有音频,3.982,否,否,0.5208,
湖南娱乐,http://8.138.7.223/tv/mgtv.php?id=344,,,,,,,640x360,CCSH.txt,727,200,成功,h264,640x360,25.0,有音频,1.658,否,否,0.5781,
