频道名,地址,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件
杭州综合,https://stream1.freetv.fun/hang-zhou-zong-he-3.ctv,,杭州综合,,,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/杭州综合.png,☘️浙江频道,,Guovin.txt
杭州明珠,http://goo.bkpcp.top/mg/hzmz,,杭州明珠,,,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/杭州明珠.png,☘️浙江频道,,Guovin.txt
杭州明珠,https://stream1.freetv.fun/hang-zhou-ming-zhu-2.ctv,,杭州明珠,,,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/杭州明珠.png,☘️浙江频道,,Guovin.txt
杭州明珠,https://stream1.freetv.fun/hang-zhou-ming-zhu-1.ctv,,杭州明珠,,,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/杭州明珠.png,☘️浙江频道,,Guovin.txt
杭州生活,http://goo.bkpcp.top/mg/hzsh,,杭州生活,,,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/杭州生活.png,☘️浙江频道,,Guovin.txt
杭州生活,https://stream1.freetv.fun/hang-zhou-sheng-huo-2.ctv,,杭州生活,,,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/杭州生活.png,☘️浙江频道,,Guovin.txt
杭州生活,https://stream1.freetv.fun/hang-zhou-sheng-huo-5.ctv,,杭州生活,,,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/杭州生活.png,☘️浙江频道,,Guovin.txt
杭州生活,https://stream1.freetv.fun/hang-zhou-sheng-huo-3.ctv,,杭州生活,,,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/杭州生活.png,☘️浙江频道,,Guovin.txt
杭州生活,https://stream1.freetv.fun/hang-zhou-sheng-huo-4.ctv,,杭州生活,,,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/杭州生活.png,☘️浙江频道,,Guovin.txt
杭州生活,https://stream1.freetv.fun/hang-zhou-sheng-huo-1.ctv,,杭州生活,,,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/杭州生活.png,☘️浙江频道,,Guovin.txt
