频道名,地址,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件,检测时间,状态码,ffprobe是否成功,视频编码,分辨率,帧率,音频,ffprobe探测时间
LA7d (720p),https://d15umi5iaezxgx.cloudfront.net/LA7D/CLN/HLS-B/Live.m3u8,LA7d.it@SD,,,,https://i.imgur.com/sM0A3GD.png,General,,iptv-org-all.txt,300,403,无视频流,,,,无音频,0.637
Keshet 12 (1080i) [Not 24/7],https://mako-streaming.akamaized.net/stream/hls/live/2033791/k12n12wad/profile/1/hdntl=exp=1757445516~acl=/*~data=hdntl~hmac=a8baf01127ae46cd6fd241cf61db8590d7eacc3406f4735ed2defef329496b8a/profileManifest.m3u8?_did=6cfbfc673e5d5f7f274bf96b6c72f28ce1a53f82&_uid=0195a46a-9f11-4704-a944-301512682f7d&rK=bn,Keshet12.il@SD,,,,https://i.imgur.com/fY3eakc.png,General,,iptv-org-all.txt,458,403,无视频流,,,,无音频,0.656
Komlós TV (1080p) [Not 24/7],https://stream.streaming4u.hu/KomlosTV/tracks-v1a1/mono.m3u8,KomlosTV.hu@SD,,,,https://i.imgur.com/dnITSUz.png,General,,iptv-org-all.txt,1296,403,无视频流,,,,无音频,1.501
MBC (1080p),https://cdn8.fntvchannel.com/v1/master/02eeb1726c343dc9c30c32e93dee82013e157021/FNTV-CHANNEL_CDN77/index.m3u8,MBC.uk@HD,,,,https://mybingechannel.co.uk/wp-content/uploads/2023/02/mbc-logo-for-website.png,Undefined,,iptv-org-all.txt,918,574,无视频流,,,,无音频,0.520
JBN Canal 39 (720p) [Not 24/7],https://hdbox.chunklistv.com/live?stream=jbn39,JBN.ni@SD,,,,https://i.imgur.com/vFi0FMZ.png,Religious,,iptv-org-all.txt,1768,403,无视频流,,,,无音频,0.489
Marao TV,http://dvrfl05.bozztv.com/gin-marao/index.m3u8,MaraoTV.ge@SD,,,,https://i.imgur.com/Nurmw1G.png,Lifestyle,,iptv-org-all.txt,1481,403,无视频流,,,,无音频,0.162
Magenta Musik 360 (1080p),https://streaming.magentamusik.de/csm/573870/magentamusik1/index.m3u8,MagentaMusik360.de@SD,,,,https://i.imgur.com/R74gG7U.png,Music,,iptv-org-all.txt,825,403,无视频流,,,,无音频,0.156
Kartuli TV (480p),http://dvrfl05.bozztv.com/gin-qartulitv/index.m3u8,KartuliTV.ge@SD,,,,https://i.imgur.com/k6kCnBZ.jpeg,Culture,,iptv-org-all.txt,40,403,无视频流,,,,无音频,0.153
JBS (404p) [Not 24/7],http://uni8rtmp.tulix.tv:1935/shalomtv-pc/smil:shalomtv.smil/master.m3u8,JBS.us@SD,,,,https://yt3.googleusercontent.com/ytc/AIdro_lDWY-W9dD7UvLlp1NuWLJs1wV6t_KjeOT-1iVVIGuLZ8U=s512-c-k-c0x00ffffff-no-rj,Religious,,iptv-org-all.txt,1860,403,无视频流,,,,无音频,0.170
Jacksonville Freedom Fountain Camera Live,https://reflect-jacksonville.cablecast.tv/live-7/live/live.m3u8,,,,,,Undefined,,iptv-org-all.txt,459,200,无视频流,,,,无音频,0.287
