频道名,地址,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件,检测时间,状态码,ffprobe是否成功,视频编码,分辨率,帧率,音频,ffprobe探测时间
[HD]premiere b,https://t.freetv.fun/live/premiere-b.m3u8,,OMN Movies Premiere,United Arab Emirates,United Arab Emirates,https://epg.pw/media/uploads/tmp_logo/2015/02/13/20150213101020822038_55.jpg,Movies,,freetv-fun-all.txt,348,403,无视频流,,,,无音频,1.168
[BD]now,https://t.freetv.fun/live/now-6.m3u8,,Now sports 641,Hong Kong,Hong Kong,https://epg.pw/media/images/channel/2025/01/26/large/20250126114632120831_44.png,Sports,,freetv-fun-all.txt,24,403,无视频流,,,,无音频,1.288
[BD]universal tv,https://t.freetv.fun/live/universal-tv.m3u8,,UNIVERSAL TV,United States,United States,https://epg.pw/media/img/logo/UNIVERSAL.PNG,Generic,,freetv-fun-all.txt,24,403,无视频流,,,,无音频,0.198
[SD]rtp 3,https://t.freetv.fun/live/rtp-3-1.m3u8,,RTP 3 PT,Portugal,Portugal,https://epg.pw/media/,Generic,,freetv-fun-all.txt,19,403,无视频流,,,,无音频,0.445
[VGA]sky sports premier league,https://t.freetv.fun/live/sky-sports-premier-league.m3u8,12453,Sky Sports Premier League,United Kingdom,United Kingdom,https://epg.pw/media/images/channel/2023/09/04/large/20230904161002034102_45.png,Sports,,freetv-fun-all.txt,23,403,无视频流,,,,无音频,1.361
[BD]ntv,https://t.freetv.fun/live/ntv-4.m3u8,12244,NTV HD,Mongolia,Mongolia,https://epg.pw/media/uploads/tmp_logo/2017/03/25/20170325213913711970_32.jpg,News,,freetv-fun-all.txt,25,403,无视频流,,,,无音频,0.910
[BD]national geographic abu dhabi,https://t.freetv.fun/live/national-geographic-abu-dhabi.m3u8,,National Geographic Abu Dhabi,United Arab Emirates,United Arab Emirates,https://epg.pw/media/images/channel/2022/05/06/large/20220506174004832702_83.png,Knowledge,,freetv-fun-all.txt,29,403,无视频流,,,,无音频,0.324
[SD]rtp madeira,https://t.freetv.fun/live/rtp-madeira.m3u8,,RTP Madeira,Portugal,Portugal,https://epg.pw/media/images/channel/2022/05/06/large/20220506174651663639_63.png,Generic,,freetv-fun-all.txt,27,403,无视频流,,,,无音频,0.208
[HD]premier sports 4,https://t.freetv.fun/live/premier-sports-4-1.m3u8,3625,Premier Sports,Malaysia,Malaysia,https://epg.pw/media/images/channel/2022/06/09/large/20220609233720370622_81.png,Sports,,freetv-fun-all.txt,22,403,无视频流,,,,无音频,1.836
[BD]premiere 8,https://t.freetv.fun/live/premiere-8.m3u8,,OSN  Premiere,Saudi Arabia,Saudi Arabia,https://epg.pw/media/uploads/tmp_logo/2016/12/29/20161229071013884211_45.jpg,Other,,freetv-fun-all.txt,20,403,无视频流,,,,无音频,0.303
[BD]rtl,https://t.freetv.fun/live/rtl.m3u8,,RTL HD,Germany,Germany,https://epg.pw/media/images/channel/2017/07/17/large/20170717231119158221_46.png,Generic,,freetv-fun-all.txt,20,403,无视频流,,,,无音频,1.048
[HD]NHK WORLD PREMIUM *tt,https://t.freetv.fun/live/nhk-world-premium-tt.m3u8,,NHK BS Premium,Japan,Japan,https://epg.pw/media/images/channel/2022/05/13/large/20220513155153270265_70.jpg,Generic,,freetv-fun-all.txt,22,403,无视频流,,,,无音频,3.041
[BD]zoom,https://t.freetv.fun/live/zoom-1.m3u8,6513,ZOOM,Israel,Israel,https://epg.pw/media/images/channel/2022/05/06/large/20220506164604570567_51.png,Kids,,freetv-fun-all.txt,8,403,无视频流,,,,无音频,2.291
[SD]rtp madeira,https://t.freetv.fun/live/rtp-madeira-1.m3u8,,RTP Madeira,Portugal,Portugal,https://epg.pw/media/images/channel/2022/05/06/large/20220506174651663639_63.png,Generic,,freetv-fun-all.txt,21,403,无视频流,,,,无音频,0.187
[HD]premier sports 2,https://t.freetv.fun/live/premier-sports-2.m3u8,3625,Premier Sports,Malaysia,Malaysia,https://epg.pw/media/images/channel/2022/06/09/large/20220609233720370622_81.png,Sports,,freetv-fun-all.txt,34,403,无视频流,,,,无音频,1.698
[HD]globo sp 2,https://t.freetv.fun/live/globo-sp-2.m3u8,,O Globo,Brazil,Brazil,https://epg.pw/media/uploads/tmp_logo/2014/09/09/20140909014643643615_17.jpg,Movies,,freetv-fun-all.txt,24,403,无视频流,,,,无音频,0.383
[BD]super,https://t.freetv.fun/live/super.m3u8,,TV Super Sky Macedonia,Macedonia,Macedonia,https://epg.pw/media/,Generic,,freetv-fun-all.txt,23,403,无视频流,,,,无音频,1.902
[HD]la 1 catalunya,https://t.freetv.fun/live/la-1-catalunya.m3u8,,TV3 Catalunya,Spain,Spain,https://epg.pw/media/images/channel/2022/05/06/large/20220506174702646530_40.png,Generic,,freetv-fun-all.txt,30,403,无视频流,,,,无音频,8.174
[BD]on life,https://t.freetv.fun/live/on-life.m3u8,,life,Iraq,Iraq,https://epg.pw/media/images/channel/2022/05/27/large/20220527020700824549_61.png,Other,,freetv-fun-all.txt,21,403,超时,,,,无音频,20.025
[VGA]terra,https://t.freetv.fun/live/terra-6.m3u8,,Terra Viva,Brazil,Brazil,https://epg.pw/media/images/channel/2022/05/06/large/20220506174710208044_59.png,Generic,,freetv-fun-all.txt,21,403,超时,,,,无音频,20.011
[HD]tv8,https://t.freetv.fun/live/tv8.m3u8,,TV8,Georgia,Georgia,https://epg.pw/media/uploads/tmp_logo/2015/05/11/20150511071903763840_46.jpg,Entertainment,,freetv-fun-all.txt,34,403,无视频流,,,,无音频,2.114
[SD]amedia 2,https://t.freetv.fun/live/amedia-2-2.m3u8,,amedia 2,Russia,Russia,https://epg.pw/media/uploads/tmp_logo/2015/03/19/20150319035142988609_79.png,Generic,,freetv-fun-all.txt,26,403,无视频流,,,,无音频,1.417
[HD]rtp açores,https://t.freetv.fun/live/rtp-acores.m3u8,,RTP Acores,Portugal,Portugal,https://epg.pw/media/uploads/tmp_logo/2014/06/13/20140613180645462298_93.png,Generic,,freetv-fun-all.txt,26,403,无视频流,,,,无音频,0.167
[SD]orf 3,https://t.freetv.fun/live/orf-3.m3u8,,ORF 3,Germany,Germany,https://epg.pw/media/images/channel/2022/05/06/large/20220506174603753925_39.png,Generic,,freetv-fun-all.txt,23,403,无视频流,,,,无音频,4.202
[HD]premier sports 2,https://t.freetv.fun/live/premier-sports-2-2.m3u8,3625,Premier Sports,Malaysia,Malaysia,https://epg.pw/media/images/channel/2022/06/09/large/20220609233720370622_81.png,Sports,,freetv-fun-all.txt,32,403,无视频流,,,,无音频,2.243
[BD]кинохит,https://t.freetv.fun/live/kinokhit-2.m3u8,6128,КИНОХИТ,Russia,Russia,https://epg.pw/media/images/channel/2022/05/06/large/20220506174424441466_54.png,Movies,,freetv-fun-all.txt,21,403,无视频流,,,,无音频,5.156
[SD]союз,https://t.freetv.fun/live/soiuz-3.m3u8,,Кино союз Россия,Russia,Russia,https://epg.pw/media/uploads/tmp_logo/2015/02/20/20150220200547791847_91.jpg,Movies,,freetv-fun-all.txt,22,403,无视频流,,,,无音频,1.025
[BD]globo rj,https://t.freetv.fun/live/globo-rj.m3u8,,O Globo,Brazil,Brazil,https://epg.pw/media/uploads/tmp_logo/2014/09/09/20140909014643643615_17.jpg,Movies,,freetv-fun-all.txt,32,403,无视频流,,,,无音频,0.311
[HD]paramount plus,https://t.freetv.fun/live/paramount-plus.m3u8,,PARAMOUNT,United States,United States,https://epg.pw/media/,Generic,,freetv-fun-all.txt,20,403,无视频流,,,,无音频,0.296
[BD]premiere 2,https://t.freetv.fun/live/premiere-2.m3u8,,OSN  Premiere 2,Saudi Arabia,Saudi Arabia,https://epg.pw/media/uploads/tmp_logo/2016/12/29/20161229071349512275_53.jpg,Other,,freetv-fun-all.txt,19,403,无视频流,,,,无音频,0.282
[SD]домашний,https://t.freetv.fun/live/domashnii-3.m3u8,7334,Домашний,Russia,Russia,https://epg.pw/media/images/channel/2022/05/06/large/20220506174738821384_39.png,Generic,,freetv-fun-all.txt,28,403,无视频流,,,,无音频,1.252
[HD]rtp açores,https://t.freetv.fun/live/rtp-acores-1.m3u8,,RTP Acores,Portugal,Portugal,https://epg.pw/media/uploads/tmp_logo/2014/06/13/20140613180645462298_93.png,Generic,,freetv-fun-all.txt,25,403,无视频流,,,,无音频,0.156
[HD]premiere c,https://t.freetv.fun/live/premiere-c.m3u8,,OMN Movies Premiere,United Arab Emirates,United Arab Emirates,https://epg.pw/media/uploads/tmp_logo/2015/02/13/20150213101020822038_55.jpg,Movies,,freetv-fun-all.txt,325,403,无视频流,,,,无音频,0.307
[HD]premier sports 5,https://t.freetv.fun/live/premier-sports-5-1.m3u8,3625,Premier Sports,Malaysia,Malaysia,https://epg.pw/media/images/channel/2022/06/09/large/20220609233720370622_81.png,Sports,,freetv-fun-all.txt,29,403,无视频流,,,,无音频,1.359
[BD]sportv 3,https://t.freetv.fun/live/sportv-3.m3u8,,Sport TV 3,Portugal,Portugal,https://epg.pw/media/images/channel/2022/05/06/large/20220506173745399752_34.png,Sports,,freetv-fun-all.txt,14,403,无视频流,,,,无音频,0.289
[HD]nhk world premium,https://t.freetv.fun/live/nhk-world-premium.m3u8,,NHK World FHD,Japan,Japan,https://epg.pw/media/images/channel/2022/05/13/large/20220513225311089225_30.jpg,Generic,,freetv-fun-all.txt,21,403,无视频流,,,,无音频,2.560
