频道名,地址,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件,检测时间,状态码,ffprobe是否成功,视频编码,分辨率,帧率,音频,ffprobe探测时间
HCH,https://dvrfl03.bozztv.com/hondu-hchtv/index.m3u8,HCH.hn@SD,,,,https://i.imgur.com/2CB5ezq.png,News,,iptv-org-all.txt,721,403,无视频流,,,,无音频,0.792
Go TV,https://dvrfl03.bozztv.com/hondu/hondu-gotv/index.m3u8,GoTV.hn@SD,,,,https://i.imgur.com/qPugeWX.png,General,,iptv-org-all.txt,1102,403,无视频流,,,,无音频,0.802
Esport3 (1080p) [Geo-blocked],https://directes-tv-cat.3catdirectes.cat/live-content/esport3-hls/master.m3u8,Esport3.es@SD,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Esport3.svg/330px-Esport3.svg.png,Public;Sports,,iptv-org-all.txt,1406,403,无视频流,,,,无音频,0.119
Fun Radio,https://raw.githubusercontent.com/Sibprod/streams/main/ressources/dm/py/hls/funradiofr.m3u8,FunRadio.fr@SD,,,,https://i.imgur.com/wgxuYsQ.png,Music,,iptv-org-all.txt,32,200,无视频流,,,,无音频,0.140
Ici Radio-Canada Télé Saskatchewan (CBKFT-DT) [Geo-blocked],https://rcavlive.akamaized.net/hls/live/704019/cancbkft/master.m3u8,CBKFTDT.ca@SD,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/ICI_Saskatchewan_logo_2018.svg/512px-ICI_Saskatchewan_logo_2018.svg.png,General,,iptv-org-all.txt,7,403,无视频流,,,,无音频,0.195
Il Testimone Italy (720p),https://stitcher-ipv4.pluto.tv/v1/stitch/embed/hls/channel/61fbd3f0733df400076c9a2d/master.m3u8?advertisingId={PSID}&appVersion=unknown&deviceDNT={TARGETOPT}&deviceId={PSID}&deviceLat=0&deviceLon=0&deviceMake=samsung&deviceModel=samsung&deviceType=samsung-tvplus&deviceVersion=unknown&embedPartner=samsung-tvplus&profileFloor=&profileLimit=&samsung_app_domain={APP_DOMAIN}&samsung_app_name={APP_NAME}&us_privacy=1YNY,,,,,,Undefined,,iptv-org-all.txt,1178,403,无视频流,,,,无音频,0.155
Il Banco dei Pugni Italy (720p),https://stitcher-ipv4.pluto.tv/v1/stitch/embed/hls/channel/60e4507a06171800072339a3/master.m3u8?advertisingId={PSID}&appVersion=unknown&deviceDNT={TARGETOPT}&deviceId={PSID}&deviceLat=0&deviceLon=0&deviceMake=samsung&deviceModel=samsung&deviceType=samsung-tvplus&deviceVersion=unknown&embedPartner=samsung-tvplus&profileFloor=&profileLimit=&samsung_app_domain={APP_DOMAIN}&samsung_app_name={APP_NAME}&us_privacy=1YNY,IlBancodeiPugni.us@Italy,,,,https://i.imgur.com/NZDUlME.png,Entertainment,,iptv-org-all.txt,1347,403,无视频流,,,,无音频,0.194
FAP TV (480p),https://nd106.republicaservers.com/hls/c7284/index.m3u8,FAPTV.bo@SD,,,,https://i.imgur.com/jZ7g58e.png,General,,iptv-org-all.txt,2138,200,无视频流,,,,无音频,0.958
FailArmy Italy (720p),https://stitcher-ipv4.pluto.tv/v1/stitch/embed/hls/channel/608014d19a26320007c92ab6/master.m3u8?advertisingId={PSID}&appVersion=unknown&deviceDNT={TARGETOPT}&deviceId={PSID}&deviceLat=0&deviceLon=0&deviceMake=samsung&deviceModel=samsung&deviceType=samsung-tvplus&deviceVersion=unknown&embedPartner=samsung-tvplus&profileFloor=&profileLimit=&samsung_app_domain={APP_DOMAIN}&samsung_app_name={APP_NAME}&us_privacy=1YNY,FailArmy.us@Italy,,,,https://i.imgur.com/VIpQJxL.png,Comedy,,iptv-org-all.txt,1289,403,无视频流,,,,无音频,0.172
GOOD TV CH32 特會系列：禱告與轉化 (720p) [Not 24/7],https://live.streamingfast.net/osmflivech32.m3u8,,,,,,Undefined,,iptv-org-all.txt,195,200,无视频流,,,,无音频,2.225
