频道名,地址,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件,检测时间,状态码,ffprobe是否成功,视频编码,分辨率,帧率,音频,ffprobe探测时间,是否假源,是否轮回,轮回相似度,检测信息
Canal 2 International,http://69.64.57.208/canal2international/playlist.m3u8,Canal2International.cm@SD,,,,https://i.imgur.com/BzA2z7m.png,General,,iptv-org-all.txt,53,200,成功,h264,,,有音频,0.873,否,否,0.0000,all_grab_failed
Avatar,http://cfd-v4-service-channel-stitcher-use1-1.prd.pluto.tv/stitch/hls/channel/600adbdf8c554e00072125c9/master.m3u8?appName=web&appVersion=unknown&clientTime=0&deviceDNT=0&deviceId=bc82e212-4b91-11ef-8a44-83c5e90e038f&deviceMake=Chrome&deviceModel=web&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&serverSideAds=false&sid=087125ec-4a0b-47a2-bdd6-67bd231af6b9,,,,,,Undefined,426x240,iptv-org-all.txt,96,200,成功,h264,426x240,30.0,有音频,4.262,否,否,0.5990,
C'est pas sorcier,http://cfd-v4-service-channel-stitcher-use1-1.prd.pluto.tv/stitch/hls/channel/63b579961bdba100071214cb/master.m3u8?appName=web&appVersion=unknown&clientTime=0&deviceDNT=0&deviceId=8e06ff23-1f2c-11ef-86d8-5d587df108c6&deviceMake=Chrome&deviceModel=web&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&serverSideAds=false&sid=410cc83b-4396-41a0-b726-70e8f1e3fea4,,,,,,Undefined,426x240,iptv-org-all.txt,103,200,成功,h264,426x240,30.0,有音频,3.762,否,否,0.5312,
BBC News Europe,https://dash2.antik.sk/live/test_bbc_world/playlist.m3u8,BBCNews.uk@Europe,,,,https://i.imgur.com/vSz2WEp.png,News,1920x1080,iptv-org-all.txt,2201,200,成功,h264,1920x1080,25.0,有音频,2.608,否,否,0.5885,
Brat TV (720p) [Geo-blocked],https://amg00350-amg00350c1-klowdtv-us-2536.playouts.now.amagi.tv/playlist/amg00350-bratstudiofast-brat-klowdtvus/playlist.m3u8,BratTV.us@SD,,,,https://i.imgur.com/Kkcp9Bk.png,Kids,1920x1080,iptv-org-all.txt,1390,200,成功,h264,1920x1080,29.97002997002997,有音频,4.821,否,否,0.5729,
Canal 30 TV Bethel (720p) [Not 24/7],https://s.emisoras.tv:8081/canal30tvbethel/index.m3u8,Canal30TVBethel.gt@SD,,,,https://i.imgur.com/PP4U1JL.png,Religious,1280x720,iptv-org-all.txt,74,200,成功,h264,1280x720,29.97002997002997,有音频,1.966,否,否,0.5573,
Canal 22 Nacional (720p) [Geo-blocked],https://5fc584f3f19c9.streamlock.net/canal22/smil:canal22.smil/playlist.m3u8,Canal22Nacional.mx@SD,,,,https://i.imgur.com/6qiYvhe.png,Undefined,426x240,iptv-org-all.txt,987,200,成功,h264,426x240,30.0,有音频,0.943,否,否,0.0000,
Canal Catorce (720p),https://tv.livestreaminggroup.info:3052/live/catorcetvlive.m3u8,CanalCatorce.do@SD,,,,https://i.imgur.com/iKLGBbA.png,General,1920x1080,iptv-org-all.txt,1412,200,成功,h264,1920x1080,30.0,有音频,1.225,否,否,0.5260,
Atlanta's 57 WATC TOO 57.2 (720p),https://uni01rtmp.tulix.tv/watc57-2/watc57-2/playlist.m3u8,WATCDT2.us@SD,,,,https://i.imgur.com/RAfuLul.png,Undefined,1920x1080,iptv-org-all.txt,836,200,成功,h264,1920x1080,,有音频,2.509,否,否,0.5885,
Bloomberg Originals,https://e96a7526.wurl.com/master/f36d25e7e52f1ba8d7e56eb859c636563214f541/UmFrdXRlblRWLWV1X0Jsb29tYmVyZ09yaWdpbmFsc19ITFM/playlist.m3u8,BloombergOriginals.us@Poland,,,,https://www.theofficialboard.com/img/twitterCompanyBigImages/32361.jpg,Business,384x216,iptv-org-all.txt,1086,200,成功,h264,384x216,29.97002997002997,有音频,6.357,否,否,0.5417,
BFM Business (576p),https://live-cdn-stream-euw1.bfmb.bct.nextradiotv.com/master.m3u8,BFMBusiness.fr@SD,,,,https://i.imgur.com/psqIHn4.png,Business;News,480x270,iptv-org-all.txt,1410,200,成功,h264,480x270,25.0,有音频,5.174,否,否,0.5677,
Cablenoticias (1080p),https://5ea86ddd14ce7.streamlock.net/live/cable09061970/playlist.m3u8,Cablenoticias.co@SD,,,,https://i.imgur.com/FfhOGR9.png,News,1920x1080,iptv-org-all.txt,2047,200,成功,h264,1920x1080,,有音频,2.705,否,否,0.5417,
Brevard County Government Access TV (Brevard FL) (720p),https://cdn3.wowza.com/5/cXdyRHF0Z3kxN0k2/brevardfl/G2111_002/playlist.m3u8,BrevardGovernmentAccessTV.us@SD,,,,https://i.imgur.com/eUTDIQ2.png,Legislative,1280x720,iptv-org-all.txt,383,200,成功,h264,1280x720,29.97002997002997,有音频,1.193,否,否,0.5260,
Bol News (1080p),http://66.102.120.18:8000/play/a038/index.m3u8,BolNews.pk@SD,,,,https://i.imgur.com/chHLi5u.png,News,1920x1080,iptv-org-all.txt,787,200,成功,h264,1920x1080,50.0,有音频,5.736,否,否,0.5677,
C-SPAN,https://fl1.moveonjoy.com/C-SPAN/index.m3u8,CSPAN.us@SD,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/C-SPAN_Logo_%282019%29.svg/512px-C-SPAN_Logo_%282019%29.svg.png,Legislative,1280x720,iptv-org-all.txt,109,200,成功,h264,1280x720,59.94005994005994,有音频,1.782,否,否,0.5469,
Canal Motor (720p),https://digicom.hls.iptvdc.com/canalmotor/index.m3u8,CanalMotor.no@SD,,,,https://i.postimg.cc/XJ0jb4d2/canalmotor.png,Auto,1280x720,iptv-org-all.txt,2243,200,成功,h264,1280x720,50.0,有音频,9.956,否,否,0.6094,
Bloomberg TV US Politics Live Event (720p),https://bloomberg.com/media-manifest/streams/politics.m3u8,BloombergTV.us@PoliticsLiveEvent,,,,https://i.imgur.com/OuogLHx.png,Business,480x272,iptv-org-all.txt,267,200,成功,h264,480x272,29.97002997002997,有音频,1.737,否,否,0.5677,
BTB HD (1080p),https://fa723fc1b171.us-west-2.playback.live-video.net/api/video/v1/us-west-2.196233775518.channel.tm5ELzwtPY6t.m3u8,BTBHD.pl@SD,,,,https://i.imgur.com/U8mcRal.png,General,284x160,iptv-org-all.txt,1150,200,成功,h264,284x160,30.0,有音频,4.672,否,否,0.5885,
Bom Channel (720p),https://5f22d76e220e1.streamlock.net/canale6/canale6/playlist.m3u8,BomChannel.it@SD,,,,https://bomchannel.it/wp-content/uploads/2025/02/Tavola-disegno-1-768x432.png,General,1280x720,iptv-org-all.txt,2070,200,成功,h264,1280x720,25.0,有音频,3.896,否,否,0.5260,
