频道名,地址,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件,检测时间,状态码,ffprobe是否成功,视频编码,分辨率,帧率,音频,ffprobe探测时间
深圳卫视,https://t.freetv.fun/live/shen-zhen-wei-shi-7.m3u8,,,,,,,1920x1080,CCSH.txt,339,403,成功,h264,1920x1080,25.0,有音频,1.440
深圳卫视,http://drive.mxmy.net:8888/udp/239.3.1.134:8020,,,,,,,,CCSH.txt,441,200,成功,h264,,25.0,有音频,2.043
宁夏卫视,https://stream1.freetv.fun/b3363040c57368928cb5d235ccc1a3b79bb3faccdeb1edbff8113e94dcd09284.m3u8,,,,,,,1280x720,CCSH.txt,21,403,成功,h264,1280x720,25.0,有音频,2.241
宁夏卫视,https://stream1.freetv.fun/3c71eda9aef6c3f1ee09822f18bd4c95cc1a18bd492709926b465e0c8928e009.m3u8,,,,,,,1280x720,CCSH.txt,337,403,成功,h264,1280x720,25.0,有音频,2.273
广西卫视,https://stream1.freetv.fun/856f3b6c385dc6ba4a11107e63bfb3bdf228e74251ccb18eef2a2849771c84ea.m3u8,,,,,,,1280x720,CCSH.txt,21,403,成功,h264,1280x720,25.0,有音频,2.276
广西卫视,https://stream1.freetv.fun/935d2b1d802bdfa7ba0bbb07871f2f13013b23f7153e604e9a75b2fd3bb36d5b.m3u8,,,,,,,1280x720,CCSH.txt,20,403,成功,h264,1280x720,25.0,有音频,2.293
厦门卫视,https://stream1.freetv.fun/8a2a9ccafaf754063ce9d89bdb563b7408b96117d9e868780622f631a35ea400.m3u8,,,,,,,1280x720,CCSH.txt,21,403,成功,h264,1280x720,25.0,有音频,2.286
新疆卫视,https://stream1.freetv.fun/a4ef36119e5da70e49e703d85d34434acb135628c9289b91dfffa6ab46bf0523.m3u8,,,,,,,1280x720,CCSH.txt,20,403,成功,h264,1280x720,25.0,有音频,2.303
云南卫视,https://stream1.freetv.fun/8104a5c152a868defd1a5d14db7deb3203e05fbdd375c5de7e68240bf606f8ea.m3u8,,,,,,,1280x720,CCSH.txt,20,403,成功,h264,1280x720,25.0,有音频,2.325
深圳卫视,https://stream1.freetv.fun/b3c40496fe966efbda4eabce98dd1814fe46f38e98934644e0cd9e318820ffcc.m3u8,,,,,,,1280x720,CCSH.txt,337,403,成功,h264,1280x720,25.0,有音频,2.384
北京卫视,https://stream1.freetv.fun/4818396cf704a1fe08bc0f303152581f80cdd52f250f909e4989ffb3e3ca1f38.m3u8,,,,,,,1280x720,CCSH.txt,333,403,成功,h264,1280x720,25.0,有音频,1.502
吉林卫视,https://t.freetv.fun/live/ji-lin-wei-shi-7.m3u8,,,,,,,854x480,CCSH.txt,62,403,成功,h264,854x480,25.0,有音频,3.128
深圳卫视,https://stream1.freetv.fun/050a5064b02266de9cb307e22340bde7b9869e556d26e034323423e07deb99d1.m3u8,,,,,,,1280x720,CCSH.txt,22,403,成功,h264,1280x720,25.0,有音频,1.811
天津卫视,http://222.169.85.8:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0,,,,,,,1920x1080,CCSH.txt,1491,200,成功,h264,1920x1080,25.0,有音频,3.363
新疆卫视,https://stream1.freetv.fun/708b18d42d1ca63e7f143d0f5b2a22383f9bcd408efba40a7638e1f7c2176e0b.m3u8,,,,,,,1280x720,CCSH.txt,22,403,成功,h264,1280x720,25.0,有音频,1.545
广西卫视,http://222.169.85.8:9901/tsfile/live/0113_1.m3u8,,,,,,,1920x1080,CCSH.txt,1389,200,成功,h264,1920x1080,25.0,有音频,3.644
吉林卫视,https://www.freetv.top/migu/947472500.m3u8?migutoken=3ea6f853b75f0ffefb45361abd4f4afde99a41c67eb1d480a3e4e1d7fb1a0dd6f93e6011475330b929d27f5b3fed5ab892298676a54c05a9741d9a11dc442899f4101d60bec353f2a25c1c2c78,,,,,,,1920x1080,CCSH.txt,1437,200,成功,h264,1920x1080,30.0,有音频,1.813
四川卫视,https://stream1.freetv.fun/a4fd9fe1601ae0bc171653ec9e7056ffc25b4db1c0b9b2c51f93629dbef064ae.m3u8,,,,,,,1280x720,CCSH.txt,20,403,成功,h264,1280x720,25.0,有音频,1.601
宁夏卫视,https://stream1.freetv.fun/40039676d37e53ccb6a0f96453991b56a72bfa3ed365f77dfe7afece235ad285.m3u8,,,,,,,1280x720,CCSH.txt,22,403,成功,h264,1280x720,25.0,有音频,1.611
天津卫视,https://stream1.freetv.fun/0d3a11ab7b1579bed59253d1fda80783bd3d15b047c0f9336517bdc5d84d8e66.m3u8,,,,,,,1280x720,CCSH.txt,22,403,成功,h264,1280x720,25.0,有音频,1.464
四川卫视,https://t.freetv.fun/live/si-chuan-wei-shi-10.m3u8,,,,,,,1920x1080,CCSH.txt,20,403,成功,h264,1920x1080,25.0,有音频,4.139
宁夏卫视,https://stream1.freetv.fun/5b1c9dac9813c114b3edb5a667d5def01e6dc960f1b9ca0fd3f45cb78fc633c9.m3u8,,,,,,,1280x720,CCSH.txt,23,403,成功,h264,1280x720,25.0,有音频,1.497
新疆卫视,https://stream1.freetv.fun/1abe256db4cb4fdd810aefb4335f73f52f11ce89eb0111941981d27a0f9c2aab.ctv,,,,,,,1280x720,CCSH.txt,21,403,成功,h264,1280x720,25.0,有音频,1.787
山东卫视,https://stream1.freetv.fun/84a9d650a24c7a23413122151ff352b3a984ce28327f3f844f0c77cad6c71d72.m3u8,,,,,,,1280x720,CCSH.txt,20,403,成功,h264,1280x720,25.0,有音频,1.497
广东卫视,https://stream1.freetv.fun/8ef6435bcdd83e12ef928e4ac5f72f2a2c4cb216bebaa6bcd4f34dc34c8761e5.m3u8,,,,,,,1280x720,CCSH.txt,21,403,成功,h264,1280x720,25.0,有音频,1.487
山东卫视,https://t.freetv.fun/live/shan-dong-wei-shi-10.php,,,,,,,1920x1080,CCSH.txt,66,403,成功,h264,1920x1080,25.0,有音频,1.972
新疆卫视,http://218.17.33.178:53290/tsfile/live/0110_1.m3u8?key=txiptv,,,,,,,720x576,CCSH.txt,460,200,成功,h264,720x576,25.0,有音频,2.327
东南卫视,https://t.freetv.fun/live/dong-nan-wei-shi-7.php,,,,,,,1920x1080,CCSH.txt,20,403,成功,h264,1920x1080,25.0,有音频,1.716
海南卫视,https://stream1.freetv.fun/20c9fd067efe47afe7423d8455241b13415e09bd17894c6cd83c5c12160bfff5.m3u8,,,,,,,1280x720,CCSH.txt,22,403,成功,h264,1280x720,25.0,有音频,1.690
山西卫视,http://120.238.94.10:9901/tsfile/live/1071_1.m3u8,,,,,,,720x576,CCSH.txt,887,200,成功,h264,720x576,25.0,有音频,3.646
北京卫视,https://stream1.freetv.fun/72571dcfa2deeb5757def46d5433417ae8430a3a7fad1ea45d459f58a771568d.m3u8,,,,,,,1280x720,CCSH.txt,20,403,成功,h264,1280x720,25.0,有音频,1.504
厦门卫视,http://nn.7x9d.cn/xzc2.php?ua=TW96aWxsYS81LjAgKFdpbmRvd3MgTlQgNi4xOyBXaW42NDsgeDY0KSBBcHBsZVdlYktpdC81MzcuMzYgKEtIVE1MLCBsaWtlIEdlY2tvKSBDaHJvbWUvMTA2LjAuMC4wIFNhZmFyaS81MzcuMzY=&hls=aHR0cDovL3R2dGoxLmp4d2x0eC5jb206ODAwMy90andzLm0zdTg=,,,,,,,720x576,CCSH.txt,786,200,成功,h264,720x576,25.0,有音频,6.598
山东卫视,http://222.169.85.8:9901/tsfile/live/0131_1.m3u8,,,,,,,1920x1080,CCSH.txt,249,200,成功,h264,1920x1080,25.0,有音频,3.861
宁夏卫视,https://stream1.freetv.fun/7c97987fabe18f3ac68fed41bc53ceffb58399ae248785798ba08e384728f027.m3u8,,,,,,,1920x1080,CCSH.txt,62,403,成功,h264,1920x1080,28.0,有音频,1.167
四川卫视,https://stream1.freetv.fun/527087db94595f8149818edbff1796a27936a74ad5037913f940114a3b585178.m3u8,,,,,,,1280x720,CCSH.txt,21,403,成功,h264,1280x720,25.0,有音频,1.490
海南卫视,https://stream1.freetv.fun/7ab08bcfc83cd137133cc784cb28eb619716a6c9b5d68842adadd33f75f2560c.m3u8,,,,,,,1280x720,CCSH.txt,20,403,成功,h264,1280x720,25.0,有音频,1.648
宁夏卫视,https://stream1.freetv.fun/9da9d86dd9a71ab4526a2165e888246611ce4172aad35eb960f1eafaeec30f90.m3u8,,,,,,,1280x720,CCSH.txt,74,403,成功,h264,1280x720,25.0,有音频,1.494
广东卫视,https://stream1.freetv.fun/50ac5b1b5fd23d475b1af675426a35acb6cc15a5c69351e2a73c7eb7e55ca499.m3u8,,,,,,,1280x720,CCSH.txt,62,403,成功,h264,1280x720,25.0,有音频,1.491
安徽卫视,https://stream1.freetv.fun/4578c4cc1ec1e3a44b49c0377bcc7ad2f839ca97cf3f744a9959ab9a30f736fb.m3u8,,,,,,,1280x720,CCSH.txt,22,403,成功,h264,1280x720,25.0,有音频,1.551
延边卫视,https://t.freetv.fun/live/yan-bian-wei-shi-1.php,,,,,,,720x576,CCSH.txt,73,403,成功,h264,720x576,25.0,有音频,3.346
吉林卫视,https://stream1.freetv.fun/ec115ddb27069ec189cbd1363c4bc06def34d3a19b57c979b96ed9201bda04bb.m3u8,,,,,,,1280x720,CCSH.txt,20,403,成功,h264,1280x720,25.0,有音频,1.505
东南卫视,https://t.freetv.fun/live/dong-nan-wei-shi-6.m3u8,,,,,,,1920x1080,CCSH.txt,338,403,成功,h264,1920x1080,25.0,有音频,3.243
