频道名,地址,回播地址,回播类型,回播天数,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件,检测时间,状态码,ffprobe是否成功,视频编码,分辨率,帧率,音频,ffprobe探测时间
Poison丶冰冰74374,https://live.ottiptv.cc/douyu/74374,,,,,,,,,,1280x720,tvbwipv_4.txt,8240,502,成功,h264,1280x720,60.0,有音频,3.437
周星星,https://live.ottiptv.cc/huya/11342412,,,,,,,,,,1920x1080,tvbwipv_4.txt,856,502,成功,h264,1920x1080,60.0,有音频,2.074
晓晓666666 426517,https://live.ottiptv.cc/douyu/426517,,,,,,,,,,1280x720,tvbwipv_4.txt,958,502,成功,h264,1280x720,30.0,有音频,3.651
我砸晕了牛顿奥1218414,https://live.ottiptv.cc/douyu/1218414,,,,,,,,,,1280x720,tvbwipv_4.txt,1377,502,成功,h264,1280x720,25.0,有音频,2.644
粤语电影丶1226741,https://live.ottiptv.cc/douyu/1226741,,,,,,,,,,1280x720,tvbwipv_4.txt,313,502,成功,h264,1280x720,30.0,有音频,3.810
苹果Zei妖2793084,https://live.ottiptv.cc/douyu/2793084,,,,,,,,,,1280x720,tvbwipv_4.txt,912,502,成功,h264,1280x720,25.0,有音频,2.650
奇光主播q12560807,https://live.ottiptv.cc/douyu/12560807,,,,,,,,,,1280x720,tvbwipv_4.txt,3604,502,成功,h264,1280x720,30.0,有音频,2.800
小毅主播e11851549,https://live.ottiptv.cc/douyu/11851549,,,,,,,,,,1280x720,tvbwipv_4.txt,4122,502,成功,h264,1280x720,30.0,有音频,2.706
师落6911044,https://live.ottiptv.cc/douyu/6911044,,,,,,,,,,1280x720,tvbwipv_4.txt,334,502,成功,h264,1280x720,30.0,有音频,2.272
当幽兰剑遇上链子刀6027991,https://live.ottiptv.cc/douyu/6027991,,,,,,,,,,1280x720,tvbwipv_4.txt,289,502,成功,h264,1280x720,25.0,有音频,4.580
奇光主播e11849873,https://live.ottiptv.cc/douyu/11849873,,,,,,,,,,1280x720,tvbwipv_4.txt,1980,502,成功,h264,1280x720,30.0,有音频,2.972
怡宝妹妹丶434971,https://live.ottiptv.cc/douyu/434971,,,,,,,,,,1280x720,tvbwipv_4.txt,2093,502,成功,h264,1280x720,30.0,有音频,3.350
跑跑卡丁车,https://live.ottiptv.cc/douyu/7722576,,,,,,,,,,1920x1080,tvbwipv_4.txt,4136,502,成功,h264,1920x1080,62.5,有音频,4.448
