频道名,地址,回播地址,回播类型,回播天数,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件,检测时间,状态码,ffprobe是否成功,视频编码,分辨率,帧率,音频,ffprobe探测时间
泸州新闻综合,http://m3u8.channel.luzhoubs.com/nmip-media/channellive/channel106011/playlist.m3u8,,,,,,,,,四川,1280x720,zbefine.txt,1344,200,成功,h264,1280x720,,有音频,2.148
师落6911044,https://live.ottiptv.cc/douyu/6911044,,,,,,,,,,1280x720,tvbwipv_4.txt,1011,200,成功,h264,1280x720,30.0,有音频,3.951
泸州公共频道,http://m3u8.channel.luzhoubs.com/nmip-media/channellive/channel102221/playlist.m3u8,,,,,,,,,四川,1280x720,zbefine.txt,1183,200,成功,h264,1280x720,,有音频,1.564
贾贵队长真男神299854,https://live.ottiptv.cc/douyu/299854,,,,,,,,,,1440x900,tvbwipv_4.txt,1029,200,成功,h264,1440x900,30.0,有音频,4.232
单纯的顺才少爷10084875,https://live.ottiptv.cc/douyu/10084875,,,,,,,,,,1280x720,tvbwipv_4.txt,1372,200,成功,h264,1280x720,30.0,有音频,2.928
绝地求生,https://live.ottiptv.cc/douyu/100,,,,,,,,,,1920x1080,tvbwipv_4.txt,1257,200,成功,h264,1920x1080,63.0,有音频,4.747
蕃薯粥粥煮好了11878141,https://live.ottiptv.cc/douyu/11878141,,,,,,,,,,1920x1080,tvbwipv_4.txt,1815,200,成功,h264,1920x1080,60.0,有音频,4.803
懒猫是只喵260322,https://live.ottiptv.cc/douyu/260322,,,,,,,,,,1280x720,tvbwipv_4.txt,1247,200,成功,h264,1280x720,30.0,有音频,4.857
云顶之弈,https://live.ottiptv.cc/douyu/522423,,,,,,,,,,1920x1080,tvbwipv_4.txt,1717,200,成功,h264,1920x1080,60.0,有音频,4.937
CCTV2,http://m.061899.xyz/mg/cctv2,,,,,,,,,,1280x720,tvbwipv_4.txt,384,403,成功,h264,1280x720,25.0,有音频,5.979
豆腐芭比6478650,https://live.ottiptv.cc/douyu/6478650,,,,,,,,,,1920x1080,tvbwipv_4.txt,756,200,成功,h264,1920x1080,30.0,有音频,1.393
泸州科教频道,http://m3u8.channel.luzhoubs.com/nmip-media/channellive/channel103074/playlist.m3u8,,,,,,,,,四川,1280x720,zbefine.txt,723,200,成功,h264,1280x720,,有音频,2.065
聚聚聚一个月4105989,https://live.ottiptv.cc/douyu/4105989,,,,,,,,,,1280x720,tvbwipv_4.txt,1224,200,成功,h264,1280x720,30.0,有音频,2.827
cs go,https://live.ottiptv.cc/douyu/601514,,,,,,,,,,1920x1080,tvbwipv_4.txt,1499,200,成功,h264,1920x1080,60.0,有音频,3.357
CCTV10,http://m.061899.xyz/mg/cctv10,,,,,,,,,,960x540,tvbwipv_4.txt,242,403,成功,hevc,960x540,25.0,有音频,6.864
拉萨汉语综合,http://file.lasatv.cn/cms/videos/nmip-media/channellive/channel1/playlist.m3u8,,,,,,,,,西藏,720x576,zbefine.txt,1030,200,成功,h264,720x576,25.0,有音频,1.954
万事通熊猫7812810,https://live.ottiptv.cc/douyu/7812810,,,,,,,,,,1280x720,tvbwipv_4.txt,1127,200,成功,h264,1280x720,30.0,有音频,2.809
