频道名,地址,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件,检测时间,状态码,ffprobe是否成功,视频编码,分辨率,帧率,音频,ffprobe探测时间
[HD]青岛新闻综合,https://t.freetv.fun/live/qing-dao-xin-wen-zong-he.m3u8,,青島新聞綜合,China,China,https://epg.pw/media/img/logo/3_238.jpg,News,1280x720,freetv-fun-all.txt,29,403,成功,h264,1280x720,25.0,有音频,1.171
[SD]天映经典,https://t.freetv.fun/live/tian-ying-jing-dian.m3u8,,天映經典(MAS),Malaysia,Malaysia,https://epg.pw/media/images/channel/2019/01/23/large/20190123002742257631_40.jpg,Movies,1024x576,freetv-fun-all.txt,24,403,成功,h264,1024x576,25.0,有音频,1.211
[BD]江西卫视,https://t.freetv.fun/live/jiang-xi-wei-shi-9.m3u8,,江西衛視,China,China,https://epg.pw/media/images/channel/2022/05/31/large/20220531144408646863_42.jpg,Generic,1920x1080,freetv-fun-all.txt,29,403,成功,h264,1920x1080,25.0,有音频,1.307
[VGA]музыка 1,https://t.freetv.fun/live/muzyka-1.m3u8,5852,Музыка Первого,Russia,Russia,https://epg.pw/media/uploads/tmp_logo/2017/01/19/20170119050548543583_72.png,Other,1280x720,freetv-fun-all.txt,26,403,成功,h264,1280x720,25.0,有音频,1.432
[HD]музыка 2,https://t.freetv.fun/live/muzyka-2.m3u8,5852,Музыка Первого,Russia,Russia,https://epg.pw/media/uploads/tmp_logo/2017/01/19/20170119050548543583_72.png,Other,1280x720,freetv-fun-all.txt,23,403,成功,h264,1280x720,30.0,有音频,1.447
[BD]江苏体育,https://t.freetv.fun/live/jiang-su-ti-yu-4.m3u8,,江蘇體育休閒,China,China,https://epg.pw/media/images/channel/2022/05/30/large/20220530230519981125_89.jpg,Sports,1920x1080,freetv-fun-all.txt,24,403,成功,h264,1920x1080,28.0,有音频,1.537
[HD]广东4k超高清,https://t.freetv.fun/live/yan-dong-4kchao-gao-qing.m3u8,,廣東4K超高清,China,China,https://epg.pw/media/images/channel/2024/01/14/large/20240114131048893907_89.png,Generic,1280x720,freetv-fun-all.txt,32,403,成功,h264,1280x720,25.0,有音频,1.623
[SD]стс,https://t.freetv.fun/live/sts-5.m3u8,7125,СТС,Russia,Russia,https://epg.pw/media/images/channel/2022/05/06/large/20220506175047720510_67.png,Entertainment,720x576,freetv-fun-all.txt,30,403,成功,h264,720x576,25.0,有音频,1.705
[VGA]муз,https://t.freetv.fun/live/muz.m3u8,,МУЗ ТВ,Russia,Russia,https://epg.pw/media/uploads/tmp_logo/2016/11/27/20161127053952273915_85.png,Other,640x360,freetv-fun-all.txt,32,403,成功,h264,640x360,30.0,有音频,0.677
[HD]广东少儿,https://t.freetv.fun/live/yan-dong-shao-er-5.m3u8,,廣東少兒,China,China,https://epg.pw/media/images/channel/2023/07/21/large/20230721133553685102_74.png,Kids,1280x720,freetv-fun-all.txt,27,403,成功,h264,1280x720,25.0,有音频,0.535
[HD]青岛生活服务,https://t.freetv.fun/live/qing-dao-sheng-huo-fu-wu.m3u8,,青島生活服務,China,China,https://epg.pw/media/img/logo/3_237.jpg,Other,1284x720,freetv-fun-all.txt,28,403,成功,h264,1284x720,25.0,有音频,0.557
[SD]стс,https://t.freetv.fun/live/sts-1.m3u8,7125,СТС,Russia,Russia,https://epg.pw/media/images/channel/2022/05/06/large/20220506175047720510_67.png,Entertainment,720x576,freetv-fun-all.txt,26,403,成功,h264,720x576,50.0,有音频,2.209
[SD]матч тв,https://t.freetv.fun/live/match-tv-1.m3u8,,Матч ТВ,Russia,Russia,https://epg.pw/media/images/channel/2021/11/13/large/20211113232255096058_95.png,Sports,720x576,freetv-fun-all.txt,25,403,成功,h264,720x576,50.0,有音频,2.214
[VGA]天映经典,https://t.freetv.fun/live/tian-ying-jing-dian-1.php,,天映經典(MAS),Malaysia,Malaysia,https://epg.pw/media/images/channel/2019/01/23/large/20190123002742257631_40.jpg,Movies,854x480,freetv-fun-all.txt,27,403,成功,h264,854x480,25.0,有音频,2.247
[BD]西安戏剧影视,https://t.freetv.fun/live/xi-an-xi-ju-ying-shi.flv,,西安影影片道,China,China,https://epg.pw/media/images/channel/2022/06/11/large/20220611231249490826_24.jpg,Other,1920x1080,freetv-fun-all.txt,448,403,成功,h264,1920x1080,25.0,有音频,1.011
[HD]苏州娱乐,https://t.freetv.fun/live/su-zhou-yu-le.m3u8,,蘇州電影娛樂,China,China,https://epg.pw/media/images/channel/2022/11/01/large/20221101022222053424_96.jpg,Movies,1280x720,freetv-fun-all.txt,448,403,成功,h264,1280x720,25.0,有音频,2.980
[SD]тнв планета,https://t.freetv.fun/live/tnv-planeta.m3u8,6724,Планета HD,Russia,Russia,https://epg.pw/media/uploads/tmp_logo/2017/02/26/20170226043945102800_42.jpg,Knowledge,1024x576,freetv-fun-all.txt,448,403,成功,h264,1024x576,25.0,有音频,1.870
[HD]泸州新闻综合,https://t.freetv.fun/live/lu-zhou-xin-wen-zong-he-1.m3u8,,湖州新聞綜合,China,China,https://epg.pw/media/images/channel/2022/11/01/large/20221101020031305070_25.jpg,News,1280x720,freetv-fun-all.txt,30,403,成功,h264,1280x720,,有音频,3.472
[HD]南充科教生活,https://t.freetv.fun/live/nan-chong-ke-jiao-sheng-huo-1.flv,,南充科教,China,China,https://epg.pw/media/images/channel/2023/07/22/large/20230722143610281782_47.png,Other,1280x720,freetv-fun-all.txt,449,403,成功,h264,1280x720,25.0,有音频,3.625
[SD]стс,https://t.freetv.fun/live/sts-7.m3u8,7125,СТС,Russia,Russia,https://epg.pw/media/images/channel/2022/05/06/large/20220506175047720510_67.png,Entertainment,720x576,freetv-fun-all.txt,27,403,成功,h264,720x576,50.0,有音频,1.663
[HD]青岛都市,https://t.freetv.fun/live/qing-dao-du-shi.m3u8,,青島都市,China,China,https://epg.pw/media/img/logo/3_234.jpg,Other,1280x720,freetv-fun-all.txt,27,403,成功,h264,1280x720,25.0,有音频,0.550
[SD]мультимания,https://t.freetv.fun/live/multimaniia-1.m3u8,,Мультимания,Russia,Russia,https://epg.pw/media/images/channel/2024/04/04/large/20240404163615517839_10.png,Kids,720x576,freetv-fun-all.txt,21,403,成功,h264,720x576,25.0,有音频,1.562
[SD]матч тв,https://t.freetv.fun/live/match-tv-7.m3u8,,Матч ТВ,Russia,Russia,https://epg.pw/media/images/channel/2021/11/13/large/20211113232255096058_95.png,Sports,720x576,freetv-fun-all.txt,26,403,成功,h264,720x576,50.0,有音频,1.667
[BD]西安都市,https://t.freetv.fun/live/xi-an-du-shi-1.m3u8,,西安白鴿都市,China,China,https://epg.pw/media/img/logo/3_56.jpg,Other,1920x1080,freetv-fun-all.txt,447,403,成功,h264,1920x1080,25.0,有音频,4.506
[SD]мультимания,https://t.freetv.fun/live/multimaniia.m3u8,,Мультимания,Russia,Russia,https://epg.pw/media/images/channel/2024/04/04/large/20240404163615517839_10.png,Kids,720x576,freetv-fun-all.txt,24,403,成功,h264,720x576,25.0,有音频,3.260
[HD]теледом,https://t.freetv.fun/live/teledom.m3u8,6838,Теледом,Russia,Russia,https://epg.pw/media/uploads/tmp_logo/2015/11/26/20151126210533526518_65.jpg,Generic,1280x720,freetv-fun-all.txt,20,403,成功,h264,1280x720,25.0,有音频,2.854
[BD]重庆新闻,https://t.freetv.fun/live/zhong-qing-xin-wen.m3u8,,重慶新聞,China,China,https://epg.pw/media/images/channel/2024/07/29/large/20240729015842242001_19.jpg,News,1920x1080,freetv-fun-all.txt,447,403,成功,h264,1920x1080,25.0,有音频,0.569
[SD]白城新闻综合,https://t.freetv.fun/live/bai-cheng-xin-wen-zong-he-2.m3u8,,晉城新聞綜合,China,China,https://epg.pw/media/images/channel/2022/11/01/large/20221101013959508413_44.jpg,News,720x576,freetv-fun-all.txt,448,403,成功,h264,720x576,25.0,有音频,3.024
[BD]澳视体育,https://t.freetv.fun/live/ao-shi-ti-yu-1.m3u8,,澳視體育,Macao,Macao,https://epg.pw/media/images/channel/2016/07/19/large/20160719143523253830_24.png,Sports,1920x1080,freetv-fun-all.txt,23,403,成功,h264,1920x1080,25.0,有音频,5.409
[HD]淮北经济生活,https://t.freetv.fun/live/huai-bei-jing-ji-sheng-huo-1.flv,,河北經濟生活,China,China,https://epg.pw/media/images/channel/2022/05/31/large/20220531150116203512_52.jpg,Generic,1280x720,freetv-fun-all.txt,27,403,成功,h264,1280x720,25.0,有音频,4.603
[BD]广东卫视,https://t.freetv.fun/live/yan-dong-wei-shi-8.m3u8,,廣東衛視,China,China,https://epg.pw/media/images/channel/2024/01/11/large/20240111225144968877_94.png,Generic,1920x1080,freetv-fun-all.txt,20,403,成功,h264,1920x1080,25.0,有音频,0.866
[BD]电影,https://t.freetv.fun/live/dian-ying-1.php,,電影頻道,China,China,https://epg.pw/media/,Test,1280x720,freetv-fun-all.txt,25,403,成功,h264,1280x720,60.0,有音频,6.153
[SD]радость моя,https://t.freetv.fun/live/radost-moia.m3u8,6095,Радость моя,Russia,Russia,https://epg.pw/media/,Kids,480x270,freetv-fun-all.txt,28,403,成功,h264,480x270,25.0,有音频,6.356
[HD]广西国际,https://t.freetv.fun/live/yan-xi-guo-ji.m3u8,,廣西國際,China,China,https://epg.pw/media/images/channel/2022/05/27/large/20220527160856596479_90.jpg,Other,1920x1080,freetv-fun-all.txt,20,403,成功,h264,1920x1080,25.0,有音频,0.585
[SD]吉林新闻综合,https://t.freetv.fun/live/ji-lin-xin-wen-zong-he.m3u8,,玉林新聞綜合,China,China,https://epg.pw/media/images/channel/2022/05/27/large/20220527162205528949_87.jpg,News,720x576,freetv-fun-all.txt,20,403,成功,h264,720x576,25.0,有音频,2.320
[SD]天映经典,https://t.freetv.fun/live/tian-ying-jing-dian-2.m3u8,,天映經典(MAS),Malaysia,Malaysia,https://epg.pw/media/images/channel/2019/01/23/large/20190123002742257631_40.jpg,Movies,1024x576,freetv-fun-all.txt,27,403,成功,hevc,1024x576,25.0,有音频,3.532
[HD]南充综合,https://t.freetv.fun/live/nan-chong-zong-he-1.m3u8,,南充綜合,China,China,https://epg.pw/media/images/channel/2023/07/22/large/20230722143551588791_16.png,Generic,1280x720,freetv-fun-all.txt,448,403,成功,h264,1280x720,25.0,有音频,6.835
[HD]南充综合,https://t.freetv.fun/live/nan-chong-zong-he-2.php,,南充綜合,China,China,https://epg.pw/media/images/channel/2023/07/22/large/20230722143551588791_16.png,Generic,1280x720,freetv-fun-all.txt,448,403,成功,h264,1280x720,25.0,有音频,6.824
[BD]россия 1,https://t.freetv.fun/live/rossiia-1.m3u8,,Россия 1,Russia,Russia,https://epg.pw/media/images/channel/2022/05/06/large/20220506174157086341_53.png,Other,1920x1080,freetv-fun-all.txt,26,403,成功,h264,1920x1080,25.0,有音频,1.586
[BD]辽宁卫视,https://t.freetv.fun/live/liao-zhu-wei-shi-4.m3u8,,遼寧衛視,China,China,https://epg.pw/media/images/channel/2025/01/28/large/20250128060733782674_48.jpg,Generic,1920x1080,freetv-fun-all.txt,447,403,成功,h264,1920x1080,25.0,有音频,0.737
[BD]澳视葡文,https://t.freetv.fun/live/ao-shi-pu-wen.m3u8,,澳視葡文,Macao,Macao,https://epg.pw/media/images/channel/2022/05/19/large/20220519235326309197_26.jpg,Entertainment,1920x1080,freetv-fun-all.txt,25,403,成功,h264,1920x1080,25.0,有音频,7.210
[BD]ช่อง 澳视资讯,https://t.freetv.fun/live/ch-ng-ao-shi-zi-xun.m3u8,,澳視資訊,Macao,Macao,https://epg.pw/media/images/channel/2025/01/26/large/20250126043923468573_57.png,News,1920x1080,freetv-fun-all.txt,23,403,成功,h264,1920x1080,25.0,有音频,7.223
[BD]晋城新闻,https://t.freetv.fun/live/jin-cheng-xin-wen-1-1.m3u8,,晉城新聞,China,China,https://epg.pw/media/img/logo/3_246.jpg,News,1920x1080,freetv-fun-all.txt,449,403,成功,h264,1920x1080,25.0,有音频,3.681
[BD]韓國娛樂,https://t.freetv.fun/live/han-guo-yu-le-8.m3u8,,韓國娛樂臺,Korea,Korea,https://epg.pw/media/images/channel/2018/07/28/large/20180728224232081806_43.png,Entertainment,1920x1080,freetv-fun-all.txt,26,403,成功,h264,1920x1080,30.0,有音频,5.476
[BD]广州南国都市,https://t.freetv.fun/live/yan-zhou-nan-guo-du-shi-3.m3u8,,南國都市,China,China,https://epg.pw/media/images/channel/2023/07/19/large/20230719065040166476_47.jpg,Generic,1920x1080,freetv-fun-all.txt,446,403,成功,h264,1920x1080,50.0,有音频,6.148
[BD]贵州卫视,https://t.freetv.fun/live/gui-zhou-wei-shi-2.m3u8,,貴州衛視,China,China,https://epg.pw/media/images/channel/2022/05/31/large/20220531144236171971_20.jpg,Generic,1920x1080,freetv-fun-all.txt,448,403,成功,h264,1920x1080,25.0,有音频,0.763
[VGA]CCM *a,https://t.freetv.fun/live/ccm-a.m3u8,368371,天映經典CCM,Malaysia,Malaysia,https://epg.pw/media/images/channel/2024/12/26/large/20241226152608705551_68.jpg,Movies,854x480,freetv-fun-all.txt,25,403,成功,h264,854x480,25.0,有音频,4.694
[SD]天映,https://t.freetv.fun/live/tian-ying-2.php,,天映頻道(MAS),Malaysia,Malaysia,https://epg.pw/media/images/channel/2023/08/05/large/20230805003741056376_18.png,Movies,960x540,freetv-fun-all.txt,25,403,成功,h264,960x540,25.0,有音频,1.379
[BD]广州南国都市,https://t.freetv.fun/live/yan-zhou-nan-guo-du-shi-5.m3u8,,南國都市,China,China,https://epg.pw/media/images/channel/2023/07/19/large/20230719065040166476_47.jpg,Generic,1920x1080,freetv-fun-all.txt,448,403,成功,h264,1920x1080,50.0,有音频,5.076
[BD]ช่อง 澳视葡文,https://t.freetv.fun/live/ch-ng-ao-shi-pu-wen.m3u8,,澳視葡文,Macao,Macao,https://epg.pw/media/images/channel/2022/05/19/large/20220519235326309197_26.jpg,Entertainment,1920x1080,freetv-fun-all.txt,27,403,成功,h264,1920x1080,25.0,有音频,6.415
[BD]河北卫视,https://t.freetv.fun/live/he-bei-wei-shi.m3u8,,河北衛視,China,China,https://epg.pw/media/images/channel/2022/05/31/large/20220531145616881844_72.jpg,Generic,1920x1080,freetv-fun-all.txt,27,403,成功,h264,1920x1080,25.0,有音频,0.729
[BD]ช่อง 澳視體育,https://t.freetv.fun/live/ch-ng-ao-shi-ti-yu.m3u8,,澳視體育,Macao,Macao,https://epg.pw/media/images/channel/2016/07/19/large/20160719143523253830_24.png,Sports,1920x1080,freetv-fun-all.txt,21,403,成功,h264,1920x1080,25.0,有音频,5.268
[VGA]рика тв,https://t.freetv.fun/live/rika-tv.m3u8,7220,НИКА ТВ,Russia,Russia,https://epg.pw/media/images/channel/2022/05/06/large/20220506175023691245_88.png,Generic,640x480,freetv-fun-all.txt,17,403,成功,h264,640x480,29.97002997002997,有音频,1.651
[SD]радость,https://t.freetv.fun/live/radost.m3u8,6095,Радость моя,Russia,Russia,https://epg.pw/media/,Kids,1024x576,freetv-fun-all.txt,27,403,成功,h264,1024x576,25.0,有音频,2.310
[SD]тнт,https://t.freetv.fun/live/tnt-11.m3u8,6280,ТНТ,Russia,Russia,https://epg.pw/media/images/channel/2022/05/06/large/20220506174349957501_91.png,Entertainment,720x576,freetv-fun-all.txt,25,403,成功,h264,720x576,25.0,有音频,9.270
[BD]4k南国都市,https://t.freetv.fun/live/4knan-guo-du-shi.m3u8,,南國都市,China,China,https://epg.pw/media/images/channel/2023/07/19/large/20230719065040166476_47.jpg,Generic,1920x1080,freetv-fun-all.txt,448,403,成功,h264,1920x1080,50.0,有音频,3.430
[HD]韩国电影1,https://t.freetv.fun/live/han-guo-dian-ying-1.m3u8,,韓國電影,Korea,Korea,https://epg.pw/media/img/logo/hanguodianying.jpg,Test,640x360,freetv-fun-all.txt,25,403,成功,h264,640x360,30.0,有音频,5.055
[BD]звезда,https://t.freetv.fun/live/zvezda.m3u8,,Телеканал Звезда Россия,Russia,Russia,https://epg.pw/media/images/channel/2022/05/06/large/20220506174948569612_67.png,Generic,1024x576,freetv-fun-all.txt,20,403,成功,h264,1024x576,25.0,有音频,5.417
[HD]吴江新闻综合,https://t.freetv.fun/live/wu-jiang-xin-wen-zong-he.m3u8,,湛江新聞綜合,China,China,https://epg.pw/media/images/channel/2022/11/01/large/20221101000354616391_13.jpg,News,1280x720,freetv-fun-all.txt,26,403,成功,h264,1280x720,25.0,有音频,7.823
[BD]文山新闻综合,https://t.freetv.fun/live/wen-shan-xin-wen-zong-he.m3u8,,舟山新聞綜合,China,China,https://epg.pw/media/images/channel/2022/11/01/large/20221101021019292176_54.jpg,News,1920x1080,freetv-fun-all.txt,450,403,成功,h264,1920x1080,25.0,有音频,4.882
[BD]甘肃卫视,https://t.freetv.fun/live/gan-su-wei-shi-2.m3u8,,甘肅衛視,China,China,https://epg.pw/media/images/channel/2022/05/31/large/20220531224357857126_28.jpg,Generic,1920x1080,freetv-fun-all.txt,16,403,成功,h264,1920x1080,25.0,有音频,0.730
