频道名,地址,回播地址,回播类型,回播天数,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件,检测时间,状态码,ffprobe是否成功,视频编码,分辨率,帧率,音频,ffprobe探测时间
CCTV9,http://m.061899.xyz/mg/cctv9,,,,,,,,,,1280x720,tvbwipv_4.txt,765,403,成功,h264,1280x720,25.0,有音频,2.170
晋城新闻,http://live.jinnews.com.cn/xwzh/sd/live.m3u8,,,,,,,,,山西,1920x1080,zbefine.txt,1001,200,成功,h264,1920x1080,25.0,有音频,3.415
聚聚聚一个月4105989,https://live.ottiptv.cc/douyu/4105989,,,,,,,,,,1280x720,tvbwipv_4.txt,1134,200,成功,h264,1280x720,30.0,有音频,3.686
CCTV11,http://m.061899.xyz/mg/cctv11,,,,,,,,,,854x480,tvbwipv_4.txt,25,403,成功,h264,854x480,25.0,有音频,4.156
cs go,https://live.ottiptv.cc/douyu/601514,,,,,,,,,,1920x1080,tvbwipv_4.txt,1201,200,成功,h264,1920x1080,60.0,有音频,4.185
云顶之弈,https://live.ottiptv.cc/douyu/522423,,,,,,,,,,1920x1080,tvbwipv_4.txt,1918,200,成功,h264,1920x1080,60.0,有音频,4.721
王者荣耀,https://live.ottiptv.cc/douyu/1863767,,,,,,,,,,1920x1080,tvbwipv_4.txt,989,200,成功,h264,1920x1080,60.0,有音频,3.142
晋城公共,http://live.jinnews.com.cn/ggpd/sd/live.m3u8,,,,,,,,,山西,1920x1080,zbefine.txt,272,200,成功,h264,1920x1080,25.0,有音频,2.591
豆腐芭比6478650,https://live.ottiptv.cc/douyu/6478650,,,,,,,,,,1920x1080,tvbwipv_4.txt,614,200,成功,h264,1920x1080,30.0,有音频,1.295
泸州科教频道,http://m3u8.channel.luzhoubs.com/nmip-media/channellive/channel103074/playlist.m3u8,,,,,,,,,四川,1280x720,zbefine.txt,537,200,成功,h264,1280x720,,有音频,1.596
万事通熊猫7812810,https://live.ottiptv.cc/douyu/7812810,,,,,,,,,,1280x720,tvbwipv_4.txt,970,200,成功,h264,1280x720,30.0,有音频,2.928
泸州公共频道,http://m3u8.channel.luzhoubs.com/nmip-media/channellive/channel102221/playlist.m3u8,,,,,,,,,四川,1280x720,zbefine.txt,654,200,成功,h264,1280x720,,有音频,1.581
跑跑卡丁车,https://live.ottiptv.cc/douyu/7722576,,,,,,,,,,1920x1080,tvbwipv_4.txt,1794,200,成功,h264,1920x1080,62.5,有音频,3.877
三台电视一套,http://125.65.94.91:12351/live,,,,,,,,,四川,1280x720,zbefine.txt,521,200,成功,h264,1280x720,25.0,有音频,4.886
泸州新闻综合,http://m3u8.channel.luzhoubs.com/nmip-media/channellive/channel106011/playlist.m3u8,,,,,,,,,四川,1280x720,zbefine.txt,1180,200,成功,h264,1280x720,,有音频,1.600
和平精英,https://live.ottiptv.cc/douyu/999,,,,,,,,,,1920x1080,tvbwipv_4.txt,1658,200,成功,h264,1920x1080,62.5,有音频,5.627
