频道名,地址,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件,检测时间,状态码,ffprobe是否成功,视频编码,分辨率,帧率,音频,ffprobe探测时间
[BD]浙江钱江都市,https://stream1.freetv.fun/zhe-jiang-qian-jiang-du-shi-4.m3u8,,浙江錢江都市,China,Chinese,https://epg.pw/media/images/channel/2023/07/19/large/20230719123520355179_33.jpg,Generic,1920x1080,freetv-fun-all.txt,767,403,成功,h264,1920x1080,25.0,有音频,2.673
[BD]浙江钱江,https://stream1.freetv.fun/zhe-jiang-qian-jiang-1.m3u8,,浙江錢江都市,China,Chinese,https://epg.pw/media/images/channel/2023/07/19/large/20230719123520355179_33.jpg,Generic,1920x1080,freetv-fun-all.txt,13,403,成功,h264,1920x1080,25.0,有音频,4.494
[VGA]舒兰新闻综合,https://stream1.freetv.fun/shu-lan-xin-wen-zong-he-1.m3u8,,蘭州新聞綜合,China,Chinese,https://epg.pw/media/images/channel/2021/10/07/large/20211007160952022833_53.png,News,320x240,freetv-fun-all.txt,19,403,成功,h264,320x240,25.0,有音频,2.657
[BD]陕西都市青春[geo-blocked],https://stream1.freetv.fun/shan-xi-du-shi-qing-chun-9.ctv,,陝西都市青春,China,Chinese,https://epg.pw/media/images/channel/2022/05/31/large/20220531151504287238_45.jpg,Generic,1920x1080,freetv-fun-all.txt,14,403,成功,h264,1920x1080,28.0,有音频,2.037
[BD]翡翠,https://stream1.freetv.fun/fei-cui-7.ctv,368366,翡翠台,Hong Kong,Cantonese,https://epg.pw/media/images/channel/2023/07/20/large/20230720173151124119_90.png,Generic,1920x1080,freetv-fun-all.txt,766,403,成功,hevc,1920x1080,50.0,有音频,1.317
[BD]甘肃卫视[geo-blocked],https://stream1.freetv.fun/gan-su-wei-shi-54.m3u8,378859,甘肅衛視,China,Chinese,https://epg.pw/media/images/channel/2022/05/31/large/20220531224357857126_28.jpg,Generic,1920x1080,freetv-fun-all.txt,21,403,成功,h264,1920x1080,50.0,有音频,3.778
[HD]翡翠,https://stream1.freetv.fun/fei-cui-18.ctv,368366,翡翠台,Hong Kong,Cantonese,https://epg.pw/media/images/channel/2023/07/20/large/20230720173151124119_90.png,Generic,1280x720,freetv-fun-all.txt,13,403,成功,h264,1280x720,25.0,有音频,1.942
[SD]绍兴新闻综合,https://stream1.freetv.fun/shao-xing-xin-wen-zong-he-7.m3u8,,紹興新聞綜合,China,Chinese,https://epg.pw/media/img/logo/3_24.jpg,Movies,720x576,freetv-fun-all.txt,17,403,成功,h264,720x576,25.0,有音频,2.953
[BD]深圳都市,https://stream1.freetv.fun/shen-zhen-du-shi-13.ctv,,深圳都市,China,Chinese,https://epg.pw/media/images/channel/2022/05/19/large/20220519234446820820_32.jpg,Generic,1920x1080,freetv-fun-all.txt,20,403,成功,h264,1920x1080,25.0,有音频,6.477
[BD]深圳卫视,https://stream1.freetv.fun/shen-zhen-wei-shi-13.ctv,378851,深圳衛視,China,Chinese,https://epg.pw/media/images/channel/2024/03/11/large/20240311112310613998_63.png,Generic,1920x1080,freetv-fun-all.txt,21,403,成功,hevc,1920x1080,25.0,有音频,4.372
[BD]潮州综合高清,https://stream1.freetv.fun/chao-zhou-zong-he-gao-qing-11.ctv,,潮州綜合,China,Chinese,https://epg.pw/media/images/channel/2023/10/07/large/20231007174220816419_38.jpg,Generic,1920x1080,freetv-fun-all.txt,774,403,成功,h264,1920x1080,25.0,有音频,7.776
[BD]肇庆综合,https://stream1.freetv.fun/zhao-qing-zong-he-2.m3u8,,肇慶綜合,China,Chinese,https://epg.pw/media/images/channel/2022/11/01/large/20221101000157850612_73.jpg,Generic,1920x1080,freetv-fun-all.txt,773,403,成功,h264,1920x1080,25.0,有音频,9.047
