频道名,地址,回播地址,回播类型,回播天数,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件,检测时间,状态码,ffprobe是否成功,视频编码,分辨率,帧率,音频,ffprobe探测时间
浙江钱江,http://ali-m-l.cztv.com/channels/lantian/channel002/720p.m3u8,,,,,,,,,,1280x720,CCSH.txt,838,200,成功,h264,1280x720,25.0,有音频,1.918
昆明新闻综合,https://t.freetv.fun/live/kun-ming-xin-wen-zong-he-3.m3u8,,,,,,,,,,1280x720,CCSH.txt,22,403,成功,h264,1280x720,25.0,有音频,2.256
浙江国际,https://stream1.freetv.fun/zhe-jiang-guo-ji-1.m3u8,,,,,,,,,,1280x720,CCSH.txt,23,403,成功,h264,1280x720,25.0,有音频,2.260
凉山新闻综合,https://t.freetv.fun/live/liang-shan-xin-wen-zong-he-2-1.m3u8,,,,,,,,,,1280x720,CCSH.txt,73,403,成功,h264,1280x720,25.0,有音频,2.362
深圳财经生活,https://stream1.freetv.fun/shen-zhen-cai-jing-sheng-huo-4.ctv,,,,,,,,,,1280x720,CCSH.txt,223,403,成功,h264,1280x720,25.0,有音频,2.545
湖北公共,https://stream1.freetv.fun/hu-bei-gong-gong-2.m3u8,,,,,,,,,,1280x720,CCSH.txt,21,403,成功,h264,1280x720,25.0,有音频,2.540
湖北生活,https://stream1.freetv.fun/hu-bei-sheng-huo-5.m3u8,,,,,,,,,,1280x720,CCSH.txt,62,403,成功,h264,1280x720,25.0,有音频,2.543
武汉一台新闻综合,https://stream1.freetv.fun/wu-yi-yi-tai-xin-wen-zong-he-5.ctv,,,,,,,,,,1280x720,CCSH.txt,67,403,成功,h264,1280x720,25.0,有音频,2.546
湖南经视,https://stream1.freetv.fun/hu-nan-jing-shi-gao-qing-2.m3u8,,,,,,,,,,1280x720,CCSH.txt,22,403,成功,h264,1280x720,25.0,有音频,2.558
铜梁综合,http://183.64.174.171:40123/ch1.m3u8,,,,,,,,,,720x576,CCSH.txt,769,200,成功,h264,720x576,25.0,有音频,2.559
武汉教育,https://stream1.freetv.fun/wu-yi-jiao-yu-18.m3u8,,,,,,,,,,1280x720,CCSH.txt,225,403,成功,h264,1280x720,25.0,有音频,2.222
黑龙江都市,https://stream1.freetv.fun/ipv6-hei-long-jiang-du-shi-17.m3u8,,,,,,,,,,1280x720,CCSH.txt,21,403,成功,h264,1280x720,25.0,有音频,2.849
武汉教育,https://stream1.freetv.fun/wu-yi-jiao-yu-15.m3u8,,,,,,,,,,1280x720,CCSH.txt,224,403,成功,h264,1280x720,25.0,有音频,2.880
佛山影视,https://stream1.freetv.fun/fo-shan-ying-shi-15.ctv,,,,,,,,,,1280x720,CCSH.txt,21,403,成功,h264,1280x720,25.0,有音频,2.011
哈尔滨影视,http://111.43.126.240:9003/hls/5/index.m3u8,,,,,,,,,,1920x1080,CCSH.txt,408,200,成功,h264,1920x1080,25.0,有音频,2.902
佛山影视,https://stream1.freetv.fun/fo-shan-ying-shi-11.ctv,,,,,,,,,,1280x720,CCSH.txt,22,403,成功,h264,1280x720,25.0,有音频,2.980
汕尾新闻综合,https://stream1.freetv.fun/shan-wei-xin-wen-zong-he-3.ctv,,,,,,,,,,1280x720,CCSH.txt,20,403,成功,h264,1280x720,25.0,有音频,2.975
石家庄娱乐,https://stream1.freetv.fun/shi-jia-zhuang-yu-le-11.m3u8,,,,,,,,,,1280x720,CCSH.txt,21,403,成功,h264,1280x720,25.0,有音频,2.361
石家庄生活,https://stream1.freetv.fun/shi-jia-zhuang-sheng-huo-10.ctv,,,,,,,,,,1280x720,CCSH.txt,20,403,成功,h264,1280x720,25.0,有音频,2.984
湖南都市,https://stream1.freetv.fun/hu-nan-du-shi-14.m3u8,,,,,,,,,,1280x720,CCSH.txt,23,403,成功,h264,1280x720,25.0,有音频,3.005
武汉教育,https://stream1.freetv.fun/wu-yi-jiao-yu-7.m3u8,,,,,,,,,,1280x720,CCSH.txt,223,403,成功,h264,1280x720,25.0,有音频,3.021
黑龙江文体,https://stream1.freetv.fun/ipv6-hei-long-jiang-wen-ti-16.ctv,,,,,,,,,,1280x720,CCSH.txt,64,403,成功,h264,1280x720,25.0,有音频,3.061
广东新闻,https://stream1.freetv.fun/yan-dong-xin-wen-24.ctv,,,,,,,,,,1280x720,CCSH.txt,62,403,成功,h264,1280x720,25.0,有音频,3.065
浙江国际,https://stream1.freetv.fun/zhe-jiang-guo-ji-2.m3u8,,,,,,,,,,1280x720,CCSH.txt,66,403,成功,h264,1280x720,25.0,有音频,1.832
湖北教育,https://stream1.freetv.fun/hu-bei-jiao-yu-8.m3u8,,,,,,,,,,1280x720,CCSH.txt,60,403,成功,h264,1280x720,25.0,有音频,2.241
固镇新闻,http://www.guzhenm.com:7001/hls/hd-live.m3u8,,,,,,,,,,1920x1080,CCSH.txt,1500,200,成功,h264,1920x1080,25.0,有音频,3.385
汕头综合,https://stream1.freetv.fun/shan-tou-zong-he-12.ctv,,,,,,,,,,1280x720,CCSH.txt,66,403,成功,h264,1280x720,25.0,有音频,1.655
之江纪录,http://ali-m-l.cztv.com/channels/lantian/channel12/1080p.m3u8,,,,,,,,,,1920x1080,CCSH.txt,626,200,成功,h264,1920x1080,25.0,有音频,3.173
萍乡新闻综合,https://t.freetv.fun/live/ping-xiang-xin-wen-zong-he.php,,,,,,,,,,1280x720,CCSH.txt,65,403,成功,h264,1280x720,25.0,有音频,1.365
河北农民,https://stream1.freetv.fun/he-bei-nong-min-18.ctv,,,,,,,,,,1280x720,CCSH.txt,20,403,成功,h264,1280x720,25.0,有音频,1.756
