频道名,地址,回播地址,回播类型,回播天数,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件,检测时间,状态码,ffprobe是否成功,视频编码,分辨率,帧率,音频,ffprobe探测时间
CCTV9,http://m.061899.xyz/mg/cctv9,,,,,,,,,,1280x720,tvbwipv_4.txt,530,403,成功,h264,1280x720,25.0,有音频,2.029
奎屯哈萨克语,http://218.84.12.186:8002/hls/main/playlist.m3u8,,,,,,,,,新疆,1920x1080,zbefine.txt,658,200,成功,h264,1920x1080,25.0,有音频,2.541
CCTV7,http://m.061899.xyz/mg/cctv7,,,,,,,,,,1920x1080,tvbwipv_4.txt,1384,403,成功,h264,1920x1080,25.0,有音频,2.783
桦甸综合,http://stream10.jlntv.cn/huadian/sd/live.m3u8,,,,,,,,,吉林,720x576,zbefine.txt,357,200,成功,h264,720x576,25.0,有音频,2.832
拉萨汉语综合,http://file.lasatv.cn/cms/videos/nmip-media/channellive/channel1/playlist.m3u8,,,,,,,,,西藏,720x576,zbefine.txt,3788,200,成功,h264,720x576,25.0,有音频,2.874
CCTV11,http://m.061899.xyz/mg/cctv11,,,,,,,,,,960x540,tvbwipv_4.txt,740,403,成功,hevc,960x540,25.0,有音频,1.669
集安综合频道,http://stream2.jlntv.cn/ja/sd/live.m3u8,,,,,,,,,吉林,320x240,zbefine.txt,278,200,成功,h264,320x240,25.0,有音频,3.203
CCTV8,http://m.061899.xyz/mg/cctv8,,,,,,,,,,960x540,tvbwipv_4.txt,536,403,成功,hevc,960x540,25.0,有音频,3.354
松原新闻综合,http://stream2.jlntv.cn/sytv/sd/live.m3u8,,,,,,,,,吉林,720x576,zbefine.txt,310,200,成功,h264,720x576,25.0,有音频,3.447
沐川综合频道,http://tvfile.mcrm.org.cn/nmip-media/channellive/channel103064/playlist.m3u8,,,,,,,,,四川,1920x1080,zbefine.txt,1383,200,成功,h264,1920x1080,25.0,有音频,3.135
枣强综合,http://hbzqdb.chinashadt.com:1937/live/zqzh.stream_360p/playlist.m3u8,,,,,,,,,河北,640x360,zbefine.txt,1435,200,成功,h264,640x360,25.0,有音频,4.077
北京-水长城03,https://gcalic.v.myalicdn.com/gc/wgw03_1/index.m3u8?contentid=2820180516001,,,,,,,,,景区,1920x1080,zbefine.txt,835,200,成功,h264,1920x1080,25.0,有音频,4.608
安徽-黄山飞来石,https://gcalic.v.myalicdn.com/gc/hsptgy_1/index.m3u8?contentid=2820180516001,,,,,,,,,景区,1920x1080,zbefine.txt,325,200,成功,h264,1920x1080,25.0,有音频,4.767
宁化电视一套,http://fjnhdb.chinashadt.com:2036/live/stream:nh1.stream/playlist.m3u8,,,,,,,,,福建,720x576,zbefine.txt,537,200,成功,h264,720x576,25.0,有音频,4.877
柳河综合,http://stream5.jlntv.cn/lh/sd/live.m3u8,,,,,,,,,吉林,720x576,zbefine.txt,302,200,成功,h264,720x576,25.0,有音频,2.132
句容影视频道,http://jrlive.jrntv.com/live/_definst_/yingshis/playlist.m3u8,,,,,,,,,江苏,720x576,zbefine.txt,3803,200,成功,h264,720x576,25.0,有音频,4.203
CCTV10,http://m.061899.xyz/mg/cctv10,,,,,,,,,,960x540,tvbwipv_4.txt,782,403,成功,hevc,960x540,25.0,有音频,1.644
CCTV5,http://m.061899.xyz/mg/cctv5,,,,,,,,,,960x540,tvbwipv_4.txt,959,403,成功,hevc,960x540,25.0,有音频,1.985
定襄综合,http://lbyzztfe.live.sxmty.com/live/hls/645ff4c60e0a49f0a203abbd73dd8be9/0720e665f10f48e98c9639f4f492fb4a-1.m3u8,,,,,,,,,山西,1280x720,zbefine.txt,1516,200,成功,h264,1280x720,30.0,有音频,5.849
临夏市电视台,http://124.152.34.102:8030/wCMq71/wCMq71_0.m3u8,,,,,,,,,甘肃,1920x1080,zbefine.txt,754,200,成功,h264,1920x1080,25.0,有音频,2.762
CCTV3,http://m.061899.xyz/mg/cctv3,,,,,,,,,,1920x1080,tvbwipv_4.txt,14,403,成功,h264,1920x1080,25.0,有音频,3.321
三台电视一套,http://125.65.94.91:12351/live,,,,,,,,,四川,1280x720,zbefine.txt,552,200,成功,h264,1280x720,25.0,有音频,6.282
三明新闻综合,http://fjnhdb.chinashadt.com:2036/live/stream:nh2.stream/playlist.m3u8,,,,,,,,,福建,720x576,zbefine.txt,1022,200,成功,h264,720x576,25.0,有音频,3.742
通化县综合,http://stream5.jlntv.cn/thx/sd/live.m3u8,,,,,,,,,吉林,320x240,zbefine.txt,312,200,成功,h264,320x240,25.0,有音频,2.126
白城新闻综合,http://stream2.jlntv.cn/baicheng1/sd/live.m3u8,,,,,,,,,吉林,720x576,zbefine.txt,311,200,成功,h264,720x576,25.0,有音频,2.227
元宝山综合,http://l2yx82zv.live2.danghongyun.com/live/hls/8be0890a1b0c4d7aaf80b51ea8646682/5a8988f5ecc64986a19aa9b6b3a052a6-1.m3u8,,,,,,,,,内蒙古,1920x1080,zbefine.txt,1415,200,成功,h264,1920x1080,30.0,有音频,1.954
双滦新闻频道,https://jwcdnqx.hebyun.com.cn/live/slxw/1500k/tzwj_video.m3u8,,,,,,,,,河北,1920x1080,zbefine.txt,761,200,成功,h264,1920x1080,25.0,有音频,6.470
梅河口综合,http://stream4.jlntv.cn/mhk/sd/live.m3u8,,,,,,,,,吉林,720x576,zbefine.txt,1441,200,成功,h264,720x576,25.0,有音频,2.771
临平新闻频道,http://l.cztvcloud.com/channels/lantian/SXyuhang2/720p.m3u8,,,,,,,,,浙江,1280x720,zbefine.txt,563,200,成功,h264,1280x720,25.0,有音频,8.478
余姚姚江文化,http://l.cztvcloud.com/channels/lantian/SXyuyao3/720p.m3u8,,,,,,,,,浙江,720x576,zbefine.txt,265,200,成功,h264,720x576,25.0,有音频,7.476
平湖新闻综合,http://l.cztvcloud.com/channels/lantian/SXpinghu1/720p.m3u8,,,,,,,,,浙江,1280x720,zbefine.txt,1475,200,成功,h264,1280x720,25.0,有音频,8.598
