频道名,地址,回播地址,回播类型,回播天数,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件,检测时间,状态码,ffprobe是否成功,视频编码,分辨率,帧率,音频,ffprobe探测时间
豆腐芭比6478650,https://live.ottiptv.cc/douyu/6478650,,,,,,,,,,1920x1080,tvbwipv_4.txt,604,200,成功,h264,1920x1080,30.0,有音频,1.965
橙記Orange丶4549169,https://live.ottiptv.cc/douyu/4549169,,,,,,,,,,1280x720,tvbwipv_4.txt,1550,403,成功,h264,1280x720,30.0,有音频,2.067
baby丶贝贝431460,https://live.ottiptv.cc/douyu/431460,,,,,,,,,,1920x1080,tvbwipv_4.txt,1717,403,成功,h264,1920x1080,30.303030303030305,有音频,1.589
怡宝妹妹丶434971,https://live.ottiptv.cc/douyu/434971,,,,,,,,,,1280x720,tvbwipv_4.txt,1596,403,成功,h264,1280x720,30.0,有音频,0.850
CCTV4,http://m.061899.xyz/mg/cctv4,,,,,,,,,,1920x1080,tvbwipv_4.txt,147,403,成功,h264,1920x1080,25.0,有音频,3.584
CCTV11,http://m.061899.xyz/mg/cctv11,,,,,,,,,,1920x1080,tvbwipv_4.txt,25,403,成功,h264,1920x1080,25.0,有音频,3.612
聚聚聚一个月4105989,https://live.ottiptv.cc/douyu/4105989,,,,,,,,,,1280x720,tvbwipv_4.txt,1623,200,成功,h264,1280x720,30.0,有音频,3.053
万事通熊猫7812810,https://live.ottiptv.cc/douyu/7812810,,,,,,,,,,1280x720,tvbwipv_4.txt,1266,200,成功,h264,1280x720,30.0,有音频,2.261
Poison丶冰冰74374,https://live.ottiptv.cc/douyu/74374,,,,,,,,,,,tvbwipv_4.txt,1115,200,成功,h264,,60.0,有音频,2.196
CF穿越火线,https://live.ottiptv.cc/douyu/5388537,,,,,,,,,,1920x1080,tvbwipv_4.txt,2067,200,成功,h264,1920x1080,30.0,有音频,1.282
拉萨汉语综合,http://file.lasatv.cn/cms/videos/nmip-media/channellive/channel1/playlist.m3u8,,,,,,,,,西藏,720x576,zbefine.txt,1999,200,成功,h264,720x576,25.0,有音频,5.885
CCTV10,http://m.061899.xyz/mg/cctv10,,,,,,,,,,1280x720,tvbwipv_4.txt,1022,403,成功,h264,1280x720,25.0,有音频,6.857
CCTV3,http://m.061899.xyz/mg/cctv3,,,,,,,,,,1280x720,tvbwipv_4.txt,1967,403,成功,h264,1280x720,25.0,有音频,3.485
伊太刀刀747764,https://live.ottiptv.cc/douyu/747764,,,,,,,,,,1920x1080,tvbwipv_4.txt,1023,200,成功,h264,1920x1080,30.0,有音频,3.322
南部新闻综合,http://pili-live-rtmp.148.i2863.com/i2863-148/live_148_811389.m3u8,,,,,,,,,四川,1280x720,zbefine.txt,1073,200,成功,h264,1280x720,25.0,有音频,2.099
米尼影院7642724,https://live.ottiptv.cc/douyu/7642724,,,,,,,,,,960x540,tvbwipv_4.txt,1525,200,成功,h264,960x540,30.0,有音频,2.276
龍組队长天昊1487654,https://live.ottiptv.cc/douyu/1487654,,,,,,,,,,1280x720,tvbwipv_4.txt,1252,200,成功,h264,1280x720,30.0,有音频,1.644
CCTV12,http://m.061899.xyz/mg/cctv12,,,,,,,,,,1920x1080,tvbwipv_4.txt,626,403,成功,h264,1920x1080,25.0,有音频,2.359
CCTV5,http://m.061899.xyz/mg/cctv5,,,,,,,,,,1920x1080,tvbwipv_4.txt,28,403,成功,h264,1920x1080,25.0,有音频,2.365
黑水新闻综合,http://live.schstv.com:90/live/xwzh.m3u8,,,,,,,,,四川,1920x1080,zbefine.txt,915,200,成功,h264,1920x1080,25.0,有音频,1.957
余姚姚江文化,http://l.cztvcloud.com/channels/lantian/SXyuyao3/720p.m3u8,,,,,,,,,浙江,720x576,zbefine.txt,4083,200,成功,h264,720x576,25.0,有音频,7.584
文成二套,http://l.cztvcloud.com/channels/lantian/SXwencheng2/720p.m3u8,,,,,,,,,浙江,1280x720,zbefine.txt,496,200,成功,h264,1280x720,25.0,有音频,10.290
奇光主播q12560807,https://live.ottiptv.cc/douyu/12560807,,,,,,,,,,1280x720,tvbwipv_4.txt,1045,403,成功,h264,1280x720,30.0,有音频,1.611
嵊州新闻综合,http://l.cztvcloud.com/channels/lantian/SXshengzhou1/720p.m3u8,,,,,,,,,浙江,1280x720,zbefine.txt,2770,200,成功,h264,1280x720,25.0,有音频,10.826
平湖新闻综合,http://l.cztvcloud.com/channels/lantian/SXpinghu1/720p.m3u8,,,,,,,,,浙江,1280x720,zbefine.txt,4064,200,成功,h264,1280x720,25.0,有音频,11.164
临平新闻频道,http://l.cztvcloud.com/channels/lantian/SXyuhang2/720p.m3u8,,,,,,,,,浙江,1280x720,zbefine.txt,3063,200,成功,h264,1280x720,25.0,有音频,14.140
晓晓666666 426517,https://live.ottiptv.cc/douyu/426517,,,,,,,,,,1280x720,tvbwipv_4.txt,1339,200,成功,h264,1280x720,30.0,有音频,1.814
苹果Zei妖2793084,https://live.ottiptv.cc/douyu/2793084,,,,,,,,,,,tvbwipv_4.txt,1123,200,成功,h264,,25.0,有音频,1.568
苍南新闻综合,http://l.cztvcloud.com/channels/lantian/SXcangnan1/720p.m3u8,,,,,,,,,浙江,1920x1080,zbefine.txt,1168,200,成功,h264,1920x1080,25.0,有音频,13.895
CCTV13,http://m.061899.xyz/mg/cctv13,,,,,,,,,,1920x1080,tvbwipv_4.txt,18,403,成功,h264,1920x1080,25.0,有音频,2.554
