频道名,地址,回播地址,回播类型,回播天数,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件,检测时间,状态码,ffprobe是否成功,视频编码,分辨率,帧率,音频,ffprobe探测时间
DJ《等爱的玫瑰》,https://vd2.bdstatic.com/mda-jfsusw53dxs6kyvc/sc/mda-jfsusw53dxs6kyvc.mp4,,,,,,,,,,1280x720,CCSH.txt,23,200,成功,h264,1280x720,25.0,有音频,1.340
DJ情歌8首,https://vd2.bdstatic.com/mda-mk7hhug7aprk2806/sc/cae_h264/1636496746808750167/mda-mk7hhug7aprk2806.mp4,,,,,,,,,,1280x720,CCSH.txt,31,200,成功,h264,1280x720,25.0,有音频,1.623
《人间惊鸿客》,https://vd3.bdstatic.com/mda-mh2bbyjcqjxjhzkd/1080p/cae_h264/1627978577559447916/mda-mh2bbyjcqjxjhzkd.mp4,,,,,,,,,,1280x720,CCSH.txt,26,200,成功,h264,1280x720,25.0,有音频,1.248
DJ情歌《爱情迷了路》,https://vd4.bdstatic.com/mda-mdbrb7fns70avrmt/1080p/cae_h264/1618222287/mda-mdbrb7fns70avrmt.mp4,,,,,,,,,,1280x720,CCSH.txt,107,200,成功,h264,1280x720,25.0,有音频,1.022
《唱着情歌流着泪》,https://vd3.bdstatic.com/mda-mhwaejanf0ie6b8j/1080p/cae_h264/1630409563129833732/mda-mhwaejanf0ie6b8j.mp4,,,,,,,,,,1280x720,CCSH.txt,102,200,成功,h264,1280x720,25.0,有音频,0.931
DJ《情火》《拥抱你离去》《夜夜夜漫长》,https://vd3.bdstatic.com/mda-nd3gy7ukv0reh4xv/sc/cae_h264_delogo/1649115109025912038/mda-nd3gy7ukv0reh4xv.mp4,,,,,,,,,,1280x720,CCSH.txt,36,200,成功,h264,1280x720,25.0,有音频,0.191
DJ情歌5首,https://vd3.bdstatic.com/mda-mmg7iqkrutbwd7az/sc/cae_h264/1639851941696222972/mda-mmg7iqkrutbwd7az.mp4,,,,,,,,,,1280x720,CCSH.txt,29,200,成功,h264,1280x720,25.0,有音频,2.078
DJ《给你留念》》,https://vd4.bdstatic.com/mda-kim3r6dpd04ypqn4/cae_h264_nowatermark/mda-kim3r6dpd04ypqn4.mp4,,,,,,,,,,640x360,CCSH.txt,103,200,成功,h264,640x360,25.0,有音频,0.155
黑龙江少儿,https://stream1.freetv.fun/ipv6-hei-long-jiang-shao-er-5.m3u8,,,,,,,,,,1280x720,CCSH.txt,9,403,成功,h264,1280x720,25.0,有音频,2.104
黑龙江新闻法治,https://stream1.freetv.fun/ipv6-hei-long-jiang-xin-wen-fa-zhi-1.m3u8,,,,,,,,,,1280x720,CCSH.txt,9,403,成功,h264,1280x720,25.0,有音频,2.113
DJ《我们不再是从前》,https://vd2.bdstatic.com/mda-mhne550wq5m66zvj/1080p/cae_h264/1629803514331462220/mda-mhne550wq5m66zvj.mp4,,,,,,,,,,1280x720,CCSH.txt,103,200,成功,h264,1280x720,25.0,有音频,0.310
吉林生活,http://192.151.150.154/live/jlsh.m3u8,,,,,,,,,,1024x576,CCSH.txt,158,200,成功,h264,1024x576,25.0,有音频,0.462
梅河口综合,http://stream4.jlntv.cn/mhk/sd/live.m3u8,,,,,,,,,吉林,720x576,zbefine.txt,754,200,成功,h264,720x576,25.0,有音频,2.797
黑龙江都市,https://stream1.freetv.fun/ipv6-hei-long-jiang-du-shi-13.m3u8,,,,,,,,,,1280x720,CCSH.txt,10,403,成功,h264,1280x720,25.0,有音频,1.864
双辽综合,http://stream5.jlntv.cn/sl/sd/live.m3u8?_upt=73404dd11699197122,,,,,,,,,,720x576,CCSH.txt,313,200,成功,h264,720x576,25.0,有音频,2.981
万载综合,http://live-echotv.cdnvideo.ru/echotv/echotv.sdp/playlist.m3u8,,,,,,,,,,1024x576,CCSH.txt,456,200,成功,h264,1024x576,25.0,有音频,0.986
黑龙江少儿,https://stream1.freetv.fun/ipv6-hei-long-jiang-shao-er-13.m3u8,,,,,,,,,,1280x720,CCSH.txt,24,403,成功,h264,1280x720,25.0,有音频,1.653
磐石综合,http://stream5.jlntv.cn/ps/sd/live.m3u8,,,,,,,,,吉林,720x576,zbefine.txt,737,200,成功,h264,720x576,25.0,有音频,2.208
哈尔滨影视,http://stream.hrbtv.net/yspd/sd/live.m3u8,,,,,,,,,黑龙江,640x480,zbefine.txt,282,200,成功,h264,640x480,25.0,有音频,2.258
固镇影视频道,http://www.guzhenm.com:7004/hls/hd-live.m3u8,,,,,,,,,安徽,720x576,zbefine.txt,897,200,成功,h264,720x576,25.0,有音频,3.322
舒兰新闻综合,http://stream8.jlntv.cn/shulan/sd/live.m3u8,,,,,,,,,吉林,720x576,zbefine.txt,286,200,成功,h264,720x576,25.0,有音频,3.368
九台综合,http://stream10.jlntv.cn/jiutaitv/sd/live.m3u8?%E5%85%B3%E6%B3%A8%E5%BE%AE%E4%BF%A1%E5%85%AC%E4%BC%97%E5%8F%B7[%E6%99%B4%E5%9B%AD],,,,,,,,,,720x576,CCSH.txt,1190,200,成功,h264,720x576,25.0,有音频,2.611
哈尔滨新闻综合,http://stream.hrbtv.net/xwzh/sd/live.m3u8,,,,,,,,,黑龙江,640x480,zbefine.txt,753,200,成功,h264,640x480,25.0,有音频,2.557
DJ老歌60-70-80爱听,https://vd2.bdstatic.com/mda-nd59vsq0r1e2j3g2/sc/cae_h264_delogo/1649230737582909591/mda-nd59vsq0r1e2j3g2.mp4,,,,,,,,,,1280x720,CCSH.txt,109,200,成功,h264,1280x720,25.0,有音频,0.417
新沂生活频道,http://live.xysrmt.cn/shpd/sd/live.m3u8,,,,,,,,,江苏,1280x720,zbefine.txt,538,200,成功,h264,1280x720,25.0,有音频,3.715
桦甸综合,http://stream10.jlntv.cn/huadian/sd/live.m3u8,,,,,,,,,吉林,720x576,zbefine.txt,307,200,成功,h264,720x576,25.0,有音频,4.033
黑龙江都市,https://stream1.freetv.fun/ipv6-hei-long-jiang-du-shi-3.m3u8,,,,,,,,,,1280x720,CCSH.txt,9,403,成功,h264,1280x720,25.0,有音频,1.964
吉林生活,http://107.150.60.122/live/jlsh.m3u8,,,,,,,,,,1024x576,CCSH.txt,158,200,成功,h264,1024x576,25.0,有音频,0.447
龙井综合,http://stream8.jlntv.cn/ljtv/sd/live.m3u8?%E5%85%B3%E6%B3%A8%E5%BE%AE%E4%BF%A1%E5%85%AC%E4%BC%97%E5%8F%B7[%E6%99%B4%E5%9B%AD],,,,,,,,,,720x576,CCSH.txt,295,200,成功,h264,720x576,25.0,有音频,4.334
黑龙江少儿,https://stream1.freetv.fun/hei-long-jiang-shao-er-10.m3u8,,,,,,,,,,1280x720,CCSH.txt,23,403,成功,h264,1280x720,25.0,有音频,1.474
DJ最烈的酒最猛的烟,https://vd4.bdstatic.com/mda-nd3eicnw62x3z3j0/hd/cae_h264_delogo/1649067794176996768/mda-nd3eicnw62x3z3j0.mp4,,,,,,,,,,644x360,CCSH.txt,100,200,成功,h264,644x360,25.0,有音频,0.313
枣强综合,http://hbzqdb.chinashadt.com:1937/live/zqzh.stream_360p/playlist.m3u8,,,,,,,,,河北,640x360,zbefine.txt,1103,200,成功,h264,640x360,25.0,有音频,4.803
《潇洒的走DJ》动感节奏,https://vd4.bdstatic.com/mda-kgirfiwxg342z9d8/v1-cae/sc/mda-kgirfiwxg342z9d8.mp4,,,,,,,,,,1280x720,CCSH.txt,113,200,成功,h264,1280x720,25.0,有音频,0.310
永吉综合频道,http://stream10.jlntv.cn/yongji/sd/live.m3u8,,,,,,,,,吉林,720x576,zbefine.txt,304,200,成功,h264,720x576,25.0,有音频,3.364
哈尔滨生活,http://stream.hrbtv.net/shpd/sd/live.m3u8,,,,,,,,,黑龙江,640x480,zbefine.txt,280,200,成功,h264,640x480,25.0,有音频,2.294
金川乡村,http://live.jinchuanrmt.com:90/live/jcxc.m3u8,,,,,,,,,,1024x576,CCSH.txt,4539,200,成功,h264,1024x576,25.0,有音频,3.243
黑龙江都市,https://stream1.freetv.fun/ipv6-hei-long-jiang-du-shi-2.m3u8,,,,,,,,,,1280x720,CCSH.txt,23,403,成功,h264,1280x720,25.0,有音频,1.512
春晚2023,https://alimov2.a.kwimgs.com/upic/2023/01/13/20/BMjAyMzAxMTMyMDA5MjJfNDAzMDAxOTlfOTM0OTkwNDQ2MTZfMF8z_b_B4851f43f5a2bc2871a9b0ec87294a6e7.mp4,,,,,,,,,,1280x720,CCSH.txt,629,200,成功,h264,1280x720,25.00126718367761,有音频,0.374
DJ《舍不得又能怎样呢》,https://vd2.bdstatic.com/mda-ncv1qd3acxskd46p/sc/cae_h264_delogo/1648720820032252958/mda-ncv1qd3acxskd46p.mp4,,,,,,,,,,1280x720,CCSH.txt,23,200,成功,h264,1280x720,25.0,有音频,0.322
《爱你到最后一刻》,https://vd3.bdstatic.com/mda-mhr9c7q9xzgy1812/1080p/cae_h264/1630062648077583523/mda-mhr9c7q9xzgy1812.mp4,,,,,,,,,,1280x720,CCSH.txt,105,200,成功,h264,1280x720,25.0,有音频,0.339
武宁新闻综合,https://stream1.freetv.fun/wu-zhu-xin-wen-zong-he-2.m3u8,,,,,,,,,,1280x720,CCSH.txt,25,403,成功,h264,1280x720,25.0,有音频,1.744
