频道名,地址,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件,检测时间,状态码,ffprobe是否成功,视频编码,分辨率,帧率,音频,ffprobe探测时间,是否假源,是否轮回,轮回相似度,检测信息
Fox Sports 1,https://fl1.moveonjoy.com/FOX_Sports_1/index.m3u8,,,,,,Undefined,1280x720,iptv-org-all.txt,19,200,成功,h264,1280x720,59.94005994005994,有音频,0.988,否,否,0.6198,
Gardening with Monty Don,https://all3media-gardening-with-monty-don-us.xumo.wurl.tv/playlist.m3u8,,,,,,Undefined,1920x1080,iptv-org-all.txt,1350,200,成功,h264,1920x1080,29.97002997002997,有音频,1.603,否,否,0.5469,
Homeful (1080p),https://amg00090-blueantcanada-amg00090c4-samsung-nz-820.playouts.now.amagi.tv/playlist/amg00090-blueantfast-homefulworldwide-samsungnz/playlist.m3u8,,,,,,Undefined,426x240,iptv-org-all.txt,911,200,成功,h264,426x240,29.97002997002997,有音频,1.784,否,否,0.6354,
EWTN,https://dash3.antik.sk/live/test_ewtn_tizen/playlist.m3u8,EWTN.de@SD,,,,https://i.imgur.com/NXeygNk.png,Religious,352x240,iptv-org-all.txt,1586,200,成功,h264,352x240,25.0,有音频,1.750,否,否,0.5208,
icnet 1,https://icnet1hls.wns.live/hls/stream.m3u8,ICnet1.ca@SD,,,,https://i.imgur.com/aeS4Sjv.png,Religious,1280x720,iptv-org-all.txt,1727,200,成功,h264,1280x720,25.0,有音频,1.969,否,否,0.5729,
Galicia TV Europa (720p),https://crtvg-europa.flumotion.cloud/playlist.m3u8,GaliciaTVEuropa.es@SD,,,,https://i.imgur.com/dvkzH8n.png,General;Public,640x360,iptv-org-all.txt,890,200,成功,h264,640x360,50.0,有音频,0.942,否,否,0.5990,
Impacto Televisión (360p) [Not 24/7],https://cloudvideo.servers10.com:8081/impactotv/index.m3u8,ImpactoTelevision.pe@SD,,,,https://i.imgur.com/bkpCGP6.png,Entertainment,854x480,iptv-org-all.txt,1424,200,成功,h264,854x480,23.976023976023978,有音频,3.444,否,否,0.5469,
GEM Life,https://still-mud-3642.nqanzvyuupxwcahtfq.workers.dev/?url=https://ca-rt.onetv.app/gemlife/index-0.m3u8,GEMLife.tr@SD,,,,https://i.imgur.com/gI8qePa.png,Lifestyle,720x576,iptv-org-all.txt,27,200,成功,h264,720x576,25.0,有音频,0.566,否,否,0.5938,
Filmgold,http://cfd-v4-service-channel-stitcher-use1-1.prd.pluto.tv/stitch/hls/channel/6305ca798bd95300072d2f93/master.m3u8?appName=web&appVersion=unknown&clientTime=0&deviceDNT=0&deviceId=84ad40f8-4b92-11ef-aece-533610f1ea34&deviceMake=Chrome&deviceModel=web&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&serverSideAds=false&sid=266c2f61-4ff7-423e-9af5-2d4f8e57bd34,,,,,,Undefined,426x240,iptv-org-all.txt,138,200,成功,h264,426x240,30.0,有音频,2.783,否,否,0.6094,
Highway Thru Hell (1080p),https://amg00627-amg00627c15-samsung-au-2899.playouts.now.amagi.tv/playlist/amg00627-banijayfast-highwaythruhell-samsungau/playlist.m3u8,,,,,,Undefined,1920x1080,iptv-org-all.txt,1365,200,成功,h264,1920x1080,25.0,有音频,2.755,否,否,0.6458,
