频道名,地址,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件,检测时间,状态码,ffprobe是否成功,视频编码,分辨率.1,帧率,音频,ffprobe探测时间,检测次数,动态级别,平均抓帧时间,抓帧失败次数,出现最多次数phash的次数,出现最多次数的phash值
金川新闻综合,http://139.203.180.9:90/live/zhxw.m3u8,,,,,,四川,1920x1080,zbefine.txt,695,200,成功,h264,1920x1080,25.0,有音频,2.237,11,189,2.841427511666666,0,2,f6ce84fc83381f81
万州综合频道,http://123.146.162.24:8017/iTXwrGs/800/live.m3u8,,,,,,重庆,720x576,zbefine.txt,459,200,成功,h264,720x576,25.0,有音频,1.382,11,0,1.3832596776666908,0,33,fe00000000000000
集安综合频道,http://stream2.jlntv.cn/ja/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,287,200,成功,h264,720x576,25.0,有音频,2.647,10,132,2.474368262666682,0,3,8cca557405fd2a7a
永清综合频道,http://60.10.203.69:8000/0.m3u8,,,,,,河北,1920x1080,zbefine.txt,708,200,成功,h264,1920x1080,25.0,有音频,2.666,11,97,2.6845152493333067,0,3,a572725949ac538f
梅河口综合,http://stream4.jlntv.cn/mhk/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,2424,200,成功,h264,720x576,25.0,有音频,2.904,11,116,2.302177874999984,0,3,9cf0300fc7c3c70f
柳河综合,http://stream5.jlntv.cn/lh/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,258,200,成功,h264,720x576,25.0,有音频,2.92,11,70,2.094595595333317,0,6,dc03030307fcfcfc
哈尔滨新闻综合,http://stream.hrbtv.net/xwzh/sd/live.m3u8,,,,,,黑龙江,640x480,zbefine.txt,581,200,成功,h264,640x480,25.0,有音频,1.94,11,169,6.188163365000037,0,6,
永清影视频道,http://60.10.203.69:8000/4.m3u8,,,,,,河北,1920x1080,zbefine.txt,488,200,成功,h264,1920x1080,30.0,有音频,1.996,11,6,2.20094388233332,0,32,a3cd92326de7982c
通化县综合,http://stream5.jlntv.cn/thx/sd/live.m3u8,,,,,,吉林,320x240,zbefine.txt,260,200,成功,h264,320x240,25.0,有音频,2.352,11,0,2.8097538213333073,0,33,ad52ad52ad52ad52
哈尔滨影视,http://stream.hrbtv.net/yspd/sd/live.m3u8,,,,,,黑龙江,640x480,zbefine.txt,222,200,成功,h264,640x480,25.0,有音频,1.814,8,139,3.400279738999965,0,6,
河源公共,http://tmpstream.hyrtv.cn/hygg/sd/live.m3u8,,,,,,广东,960x540,zbefine.txt,414,200,成功,h264,960x540,25.0,有音频,4.049,10,121,6.859472999000009,0,3,8868629aceeb38ed
金川乡村频道,http://live.jinchuanrmt.com:90/live/jcxc.m3u8,,,,,,四川,1024x576,zbefine.txt,704,200,成功,h264,1024x576,25.0,有音频,3.04,11,22,3.9656222383333293,0,3,8769727126de4f11
汪清综合,http://stream5.jlntv.cn/wq/sd/live.m3u8,,,,,,吉林,320x240,zbefine.txt,251,200,成功,h264,320x240,25.0,有音频,2.136,11,0,2.319218933000002,0,33,ad52ad52ad52ad52
兴隆综合频道,https://jwcdnqx.hebyun.com.cn/live/xlzh/1500k/tzwj_video.m3u8,,,,,,河北,1920x1080,zbefine.txt,657,200,成功,h264,1920x1080,30.0,有音频,4.691,11,106,4.381743485333345,0,3,d12e4b76657a04f2
任丘综合,https://jwcdnqx.hebyun.com.cn/live/rqtv1/1500k/tzwj_video.m3u8,,,,,,河北,1920x1080,zbefine.txt,707,200,成功,h264,1920x1080,50.0,有音频,4.756,11,68,4.578089213666696,0,6,ff010101075e7efe
固镇影视频道,http://www.guzhenm.com:7004/hls/hd-live.m3u8,,,,,,安徽,720x576,zbefine.txt,689,200,成功,h264,720x576,25.0,有音频,2.252,11,0,3.0211171313333502,0,33,8000000000000000
金川乡村频道,http://139.203.180.9:90/live/jcxc.m3u8,,,,,,四川,1024x576,zbefine.txt,667,200,成功,h264,1024x576,25.0,有音频,2.32,11,32,2.2473268339999777,0,6,db86081b7672b9c6
青县新闻,https://jwcdnqx.hebyun.com.cn/live/qxtvlive1/1500k/tzwj_video.m3u8,,,,,,河北,1920x1080,zbefine.txt,714,200,成功,h264,1920x1080,30.0,有音频,5.056,11,134,4.483665253333338,0,3,fe0101010afcfefe
