频道名,地址,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件,检测时间,状态码,ffprobe是否成功,视频编码,分辨率,帧率,音频,ffprobe探测时间,是否假源,是否轮回,轮回相似度,检测信息
[HD]istv,https://stream1.freetv.fun/istv-4.m3u8,,ISTV [Brazil],Brazil,Portuguese,https://epg.pw/media/images/channel/2023/07/19/large/20230719183008642095_72.png,News,1280x720,freetv-fun-all.txt,23,403,成功,h264,1280x720,29.97002997002997,有音频,1.681,否,否,0.5156,
[BD]imam hussein tv 3,https://stream1.freetv.fun/imam-hussein-tv-3-3.m3u8,,IMAM HUSSEIN 2 TV,Iran,Other,https://epg.pw/media/,Other,1920x1080,freetv-fun-all.txt,22,403,成功,h264,1920x1080,25.0,有音频,3.036,否,否,0.4948,
[HD]starz west *s[geo-blocked],https://stream1.freetv.fun/starz-west--s-1.m3u8,,Starz West,United States,English,https://epg.pw/media/images/channel/2022/05/27/large/20220527020552744884_81.png,Movies,1280x720,freetv-fun-all.txt,22,403,成功,h264,1280x720,25.0,有音频,2.198,否,否,0.5104,
[BD]sky comedy=,https://stream1.freetv.fun/sky-comedy-1.ctv,12136,Sky Comedy,United Kingdom,English,https://epg.pw/media/,Movies,1280x720,freetv-fun-all.txt,23,403,成功,h264,1280x720,25.0,有音频,1.779,否,否,0.5885,
[HD]sportsnet east-,https://stream1.freetv.fun/sportsnet-east-5.ctv,,Sportsnet East,Canada,English,https://epg.pw/media/images/channel/2022/03/18/large/20220318090130059599_63.png,Sports,1280x720,freetv-fun-all.txt,24,403,成功,h264,1280x720,29.97002997002997,有音频,1.451,否,否,0.5573,
[HD]soap latino,https://stream1.freetv.fun/soap-latino-1.m3u8,,Son Latino,Colombia,Spanish,https://epg.pw/media/uploads/tmp_logo/2015/03/24/20150324100009652321_52.jpg,Entertainment,1280x720,freetv-fun-all.txt,22,403,成功,h264,1280x720,29.97002997002997,有音频,2.318,否,否,0.4688,
[HD]ช่อง nbc sports network,https://stream1.freetv.fun/ch-ng-nbc-sports-network-2.m3u8,,Sports Network,Canada,English,https://epg.pw/media/images/channel/2017/01/05/large/20170105145517180728_73.png,Sports,1280x720,freetv-fun-all.txt,26,403,成功,h264,1280x720,25.0,有音频,1.868,否,否,0.4792,
[SD]russia 24 international[geo-blocked],https://stream1.freetv.fun/russia-24-international-3.ctv,,LBC International,Lebanon,العربية,https://epg.pw/media/images/channel/2022/05/06/large/20220506174912035196_59.png,Generic,1024x576,freetv-fun-all.txt,33,403,成功,h264,1024x576,25.0,有音频,10.953,否,否,0.0000,
[BD]gong,https://stream1.freetv.fun/gong-1.m3u8,,GONG TV,France,French,https://epg.pw/media/uploads/tmp_logo/2015/11/30/20151130205759744461_91.jpg,Entertainment,1920x1080,freetv-fun-all.txt,23,403,成功,h264,1920x1080,25.0,有音频,6.266,否,否,0.0000,
[BD]th hải phòng,https://stream1.freetv.fun/th-hai-phong-4.m3u8,,Hải Phòng TV,Vietnam,Vietnamese,https://epg.pw/media/uploads/tmp_logo/2014/05/21/20140521153956794124_41.jpg,Other,1920x1080,freetv-fun-all.txt,21,403,成功,h264,1920x1080,25.0,有音频,6.903,否,否,0.5312,
