频道名,地址,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件,检测时间,状态码,ffprobe是否成功,视频编码,分辨率,帧率,音频,ffprobe探测时间,是否假源,是否轮回,轮回相似度,检测信息
TVS Tally Ho (360p),https://rpn.bozztv.com/gusa/gusa-tvstallyho/index.m3u8,TVSTallyHo.us@SD,,,,https://i.imgur.com/JlFwnDD.png,Classic,640x360,iptv-org-all.txt,40,200,成功,h264,640x360,29.97002997002997,有音频,0.939,否,否,0.5521,
VH1+ Rock Italy (720p),https://stitcher-ipv4.pluto.tv/v1/stitch/embed/hls/channel/636a4173e34fd50007534542/master.m3u8?advertisingId={PSID}&appVersion=unknown&deviceDNT={TARGETOPT}&deviceId={PSID}&deviceLat=0&deviceLon=0&deviceMake=samsung&deviceModel=samsung&deviceType=samsung-tvplus&deviceVersion=unknown&embedPartner=samsung-tvplus&profileFloor=&profileLimit=&samsung_app_domain={APP_DOMAIN}&samsung_app_name={APP_NAME}&us_privacy=1YNY,,,,,,Undefined,426x240,iptv-org-all.txt,1061,200,成功,h264,426x240,30.0,有音频,3.567,否,否,0.5938,
Welt der Wunder TV (576p),https://wdw.iptv-playoutcenter.de/wdw/wdw1/playlist.m3u8,WeltderWunderTV.de@SD,,,,https://i.imgur.com/DLXssJe.png,Undefined,1920x1080,iptv-org-all.txt,1953,200,成功,h264,1920x1080,25.0,有音频,4.811,否,否,0.5938,
Tweede Kamer: Wttewaall van Stoetwegenzaal (1080p) [Not 24/7],https://livestreaming.b67buv2.tweedekamer.nl/live/wttewaallvanstoetwegenzaal/index.m3u8?hd=1&keyframes=1&subtitles=live,TweedeKamerWttewaallvanStoetwegenzaal.nl@SD,,,,https://i.imgur.com/X9fezZ8.png,Legislative,1920x1080,iptv-org-all.txt,378,200,成功,h264,1920x1080,25.0,有音频,9.041,否,否,0.5833,
Tweede Kamer: Klompezaal (1080p) [Not 24/7],https://livestreaming.b67buv2.tweedekamer.nl/live/klompezaal/index.m3u8?hd=1&keyframes=1&subtitles=live,TweedeKamerKlompezaal.nl@SD,,,,https://i.imgur.com/X9fezZ8.png,Undefined,1920x1080,iptv-org-all.txt,610,200,成功,h264,1920x1080,25.0,有音频,5.336,否,否,0.6198,
X-Factor: Das Unfassbare,http://cfd-v4-service-channel-stitcher-use1-1.prd.pluto.tv/stitch/hls/channel/642d7e029189ce0008958af5/master.m3u8?appName=web&appVersion=unknown&clientTime=0&deviceDNT=0&deviceId=84b00011-4b92-11ef-aece-533610f1ea34&deviceMake=Chrome&deviceModel=web&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&serverSideAds=false&sid=b0a16fea-9491-49e8-8a50-ca6716fb7976,,,,,,Undefined,426x240,iptv-org-all.txt,691,200,成功,h264,426x240,30.0,有音频,2.316,否,否,0.6042,
Vísir (1080p),https://live.visir.is/hls-live/visir.smil/playlist.m3u8,Visir.is@SD,,,,https://i.imgur.com/07Vlt6i.jpg,News,640x360,iptv-org-all.txt,2078,200,成功,h264,640x360,25.0,有音频,8.340,否,否,0.5885,
Zagros (720p) [Not 24/7],https://5a3ed7a72ed4b.streamlock.net/zagrostv/SMIL:myStream.smil/playlist.m3u8,ZagrosTV.iq@SD,,,,https://i.imgur.com/9Mspf32.png,General,640x360,iptv-org-all.txt,1350,200,成功,h264,640x360,29.97002997002997,有音频,5.272,否,否,0.5156,
WBTV Mysterious Worlds [Geo-blocked],https://live-manifest.production-public.tubi.io/live/8fa6f1c5-c602-426c-999d-8651180ca7ff/playlist.m3u8,,,,,,Undefined,1280x720,iptv-org-all.txt,3205,200,成功,h264,1280x720,29.97002997002997,有音频,5.936,否,否,0.5573,
Vepaco TV (480p),https://cloud.fastchannel.es/manifiest/hls/prog9/vepacotv.m3u8,VepacoTV.ve@SD,,,,https://i.imgur.com/0bqJksL.png,General,1280x720,iptv-org-all.txt,49,200,成功,h264,1280x720,59.94005994005994,有音频,1.558,否,否,0.5312,
