频道名,地址,回播地址,回播类型,回播天数,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件,检测时间,状态码
石家庄新闻综合,https://stream1.freetv.fun/shi-jia-zhuang-xin-wen-zong-he-3.m3u8,,,,,,,,,,,CCSH.txt,126,403
黑龙江新闻法治,https://stream1.freetv.fun/ipv6-hei-long-jiang-xin-wen-fa-zhi-10.m3u8,,,,,,,,,,,CCSH.txt,130,403
石家庄生活,https://stream1.freetv.fun/shi-jia-zhuang-sheng-huo-10.ctv,,,,,,,,,,,CCSH.txt,126,403
石家庄生活,https://stream1.freetv.fun/shi-jia-zhuang-sheng-huo-15.ctv,,,,,,,,,,,CCSH.txt,125,403
黑龙江都市,https://stream1.freetv.fun/hei-long-jiang-du-shi-8.m3u8,,,,,,,,,,,CCSH.txt,126,403
石家庄新闻综合,https://stream1.freetv.fun/shi-jia-zhuang-xin-wen-zong-he-4.m3u8,,,,,,,,,,,CCSH.txt,127,403
黑龙江新闻法治,https://stream1.freetv.fun/ipv6-hei-long-jiang-xin-wen-fa-zhi-8.m3u8,,,,,,,,,,,CCSH.txt,131,403
石家庄娱乐,https://stream1.freetv.fun/shi-jia-zhuang-yu-le-12.ctv,,,,,,,,,,,CCSH.txt,153,403
海南公共,https://stream1.freetv.fun/ipv6-hai-nan-gong-gong-16.m3u8,,,,,,,,,,,CCSH.txt,128,403
石家庄新闻综合,https://stream1.freetv.fun/shi-jia-zhuang-xin-wen-zong-he-11.ctv,,,,,,,,,,,CCSH.txt,128,403
黑龙江新闻法治,https://stream1.freetv.fun/hei-long-jiang-xin-wen-fa-zhi-13.m3u8,,,,,,,,,,,CCSH.txt,130,403
黑龙江都市,https://stream1.freetv.fun/hei-long-jiang-du-shi-1.m3u8,,,,,,,,,,,CCSH.txt,126,403
石家庄新闻综合,https://stream1.freetv.fun/shi-jia-zhuang-xin-wen-zong-he-10.m3u8,,,,,,,,,,,CCSH.txt,130,403
石家庄娱乐,https://stream1.freetv.fun/shi-jia-zhuang-yu-le-11.m3u8,,,,,,,,,,,CCSH.txt,131,403
黑龙江都市,https://stream1.freetv.fun/ipv6-hei-long-jiang-du-shi-13.m3u8,,,,,,,,,,,CCSH.txt,129,403
黑龙江都市,https://stream1.freetv.fun/ipv6-hei-long-jiang-du-shi-6.m3u8,,,,,,,,,,,CCSH.txt,131,403
福建少儿,https://stream1.freetv.fun/fu-jian-shao-er-3.m3u8,,,,,,,,,,,CCSH.txt,130,403
海南新闻,https://stream1.freetv.fun/ipv6-hai-nan-xin-wen-10.m3u8,,,,,,,,,,,CCSH.txt,5,403
石家庄新闻综合,https://stream1.freetv.fun/shi-jia-zhuang-xin-wen-zong-he-8.m3u8,,,,,,,,,,,CCSH.txt,135,403
石家庄都市,https://stream1.freetv.fun/shi-jia-zhuang-du-shi-12.m3u8,,,,,,,,,,,CCSH.txt,4,403
石家庄新闻综合,https://stream1.freetv.fun/shi-jia-zhuang-xin-wen-zong-he-9.m3u8,,,,,,,,,,,CCSH.txt,133,403
黑龙江都市,https://stream1.freetv.fun/ipv6-hei-long-jiang-du-shi-1.m3u8,,,,,,,,,,,CCSH.txt,6,403
石家庄生活,https://stream1.freetv.fun/shi-jia-zhuang-sheng-huo-11.ctv,,,,,,,,,,,CCSH.txt,7,403
石家庄都市,https://stream1.freetv.fun/shi-jia-zhuang-du-shi-11.ctv,,,,,,,,,,,CCSH.txt,6,403
黑龙江都市,https://stream1.freetv.fun/ipv6-hei-long-jiang-du-shi-17.m3u8,,,,,,,,,,,CCSH.txt,4,403
韩国电影2,https://stream.ads.ottera.tv/playlist.m3u8?network_id=743,,,,,韩国电影2,,,,,,TianmuTNT.txt,153,200
潜山新闻综合,https://t.freetv.fun/live/qian-shan-xin-wen-zong-he.m3u8,,,,,,,,,,,CCSH.txt,190,403
黑龙江都市,https://t.freetv.fun/live/hei-long-jiang-du-shi-1-1.m3u8,,,,,,,,,,,CCSH.txt,194,403
三明新闻综合,https://t.freetv.fun/live/san-ming-xin-wen-zong-he.m3u8,,,,,,,,,,,CCSH.txt,193,403
音乐欣赏,http://61.221.215.25:8800/hls/49/index.m3u8,,,,,音乐欣赏,,,,,,TianmuTNT.txt,435,200
合肥新闻,http://112.27.235.94:8000/hls/18/index.m3u8,,,,,合肥新闻,,,,,,TianmuTNT.txt,441,200
卡酷少儿,http://218.13.170.98:9901/tsfile/live/1021_1.m3u8,,,,,卡酷少儿,,,,,,TianmuTNT.txt,532,200
CCTV5,http://112.46.85.60:8009/hls/503/index.m3u8,,,,,CCTV5,,,,,,TianmuTNT.txt,544,200
石家庄都市,https://stream1.freetv.fun/shi-jia-zhuang-du-shi-17.m3u8,,,,,,,,,,,CCSH.txt,7,403
CCTV5+,http://112.27.235.94:8000/hls/6/index.m3u8,,,,,CCTV5+,,,,,,TianmuTNT.txt,422,200
黑龙江都市,https://stream1.freetv.fun/ipv6-hei-long-jiang-du-shi-11.m3u8,,,,,,,,,,,CCSH.txt,6,403
重庆汽摩,http://222.179.155.21:1935/ch1.m3u8?%E5%85%B3%E6%B3%A8%E5%BE%AE%E4%BF%A1%E5%85%AC%E4%BC%97%E5%8F%B7[%E6%99%B4%E5%9B%AD],,,,,,,,,,,CCSH.txt,570,200
涡阳新闻综合,http://220.180.124.18:888/live/ch0.m3u8,,,,,,,,,,,CCSH.txt,592,200
漳州新闻综合,http://8.138.7.223/tv/fjtv1.php?id=zz1,,,,,,,,,,,CCSH.txt,603,302
CCTV5,http://222.169.85.8:9901/tsfile/live/0005_1.m3u8,,,,,CCTV5,,,,,,TianmuTNT.txt,623,200
吉林卫视,http://59.39.89.130:60901/tsfile/live/0125_19.m3u8?key=txiptv&playlive=1&authid=0,,,,,吉林卫视,,,,,,TianmuTNT.txt,622,200
辽宁公共,https://stream1.freetv.fun/liao-zhu-gong-gong-3.m3u8,,,,,,,,,,,CCSH.txt,4,403
重庆汽摩,http://120.76.248.139/live/bfgd/4200000168.m3u8,,,,,,,,,,,CCSH.txt,652,200
石家庄都市,https://stream1.freetv.fun/shi-jia-zhuang-du-shi-8.m3u8,,,,,,,,,,,CCSH.txt,4,403
奎屯哈萨克语,http://218.84.12.186:8002/hls/main/playlist.m3u8?zxinjd,,,,,,,,,,,CCSH.txt,659,200
黑龙江都市,https://stream1.freetv.fun/ipv6-hei-long-jiang-du-shi-5.m3u8,,,,,,,,,,,CCSH.txt,7,403
福建少儿,http://8.138.7.223/tv/fjtv1.php?id=fjse,,,,,,,,,,,CCSH.txt,577,302
玛纳斯综合,http://218.84.127.245:1026/hls/main1/playlist.m3u8,,,,,,,,,,,CCSH.txt,712,200
吉林卫视,http://61.136.172.236:9901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0,,,,,吉林卫视,,,,,,TianmuTNT.txt,580,200
CCTV5+,http://222.169.85.8:9901/tsfile/live/0116_1.m3u8,,,,,CCTV5+,,,,,,TianmuTNT.txt,601,200
DJ舞曲《闯天涯》,https://vd2.bdstatic.com/mda-mjf3hahmam95yfkd/sc/cae_h264_nowatermark/1634352379471224566/mda-mjf3hahmam95yfkd.mp4,,,,,,,,,,,CCSH.txt,718,200
DJ舞曲《让我做你的眼睛》,https://vd2.bdstatic.com/mda-mhaargrart2qrkdz/1080p/cae_h264/1629630942996744682/mda-mhaargrart2qrkdz.mp4,,,,,,,,,,,CCSH.txt,722,200
吉林卫视,http://111.61.236.247:9081/hls/45/index.m3u8,,,,,吉林卫视,,,,,,TianmuTNT.txt,659,200
石家庄都市,https://stream1.freetv.fun/shi-jia-zhuang-du-shi-9.m3u8,,,,,,,,,,,CCSH.txt,5,403
重庆汽摩,http://183.230.184.51:65500/tntv1.m3u8?zzhongqd,,,,,,,,,,,CCSH.txt,863,200
DJ舞曲,https://vd2.bdstatic.com/mda-mmqfbgzdj99h2g2a/sc/cae_h264_nowatermark/1640431486180468034/mda-mmqfbgzdj99h2g2a.mp4,,,,,,,,,,,CCSH.txt,863,200
黑龙江都市,https://stream1.freetv.fun/ipv6-hei-long-jiang-du-shi-22.ctv,,,,,,,,,,,CCSH.txt,5,403
四川卫视,http://112.27.235.94:8000/hls/35/index.m3u8,,,,,四川卫视,,,,,,TianmuTNT.txt,210,200
DJ《给你留念》》,https://vd4.bdstatic.com/mda-kim3r6dpd04ypqn4/cae_h264_nowatermark/mda-kim3r6dpd04ypqn4.mp4,,,,,,,,,,,CCSH.txt,925,200
DJ《酒醉风雨情》《伤心苦酒》《朋友的酒》《红尘没有错》,https://vd4.bdstatic.com/mda-nd1a4zuxf78py830/sc/cae_h264_delogo/1649003829932795060/mda-nd1a4zuxf78py830.mp4,,,,,,,,,,,CCSH.txt,364,200
重庆汽摩,http://183.64.181.25:40023/rongchang01.m3u8?%E5%85%B3%E6%B3%A8%E5%BE%AE%E4%BF%A1%E5%85%AC%E4%BC%97%E5%8F%B7[%E6%99%B4%E5%9B%AD],,,,,,,,,,,CCSH.txt,924,200
DJ舞曲,https://vd2.bdstatic.com/mda-nch73gktvfmgdrbd/sc/cae_h264_delogo/1647644537085447432/mda-nch73gktvfmgdrbd.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1648813542-0-0-4a2d27d50015d19f3ed5cf5fbc261f79&bcevod_channel=searchbox_feed&pd=1&vt=1&cd=0&watermark=0&did=ced9e69a4f6154e91be590c1d5a488ab&logid=0942439256&vid=4192073541598205553&pt=0&appver=7.2.1.10&model=T7-5G10&osver=9&cr=2&abtest=peav_g52&sle=1&sl=1420&split=1235330&dt=1&nt=0&pe=0&prerender=0&kpdl=1&h265_m=-1&klogid=c770aa16cadb579d&kapid=1&psp=1&psk=68&pif=0_0_0_0&qtfc=65535&qtut=0&stg=none,,,,,,,,,,,CCSH.txt,936,200
DJ《舍不得又能怎样呢》,https://vd2.bdstatic.com/mda-ncv1qd3acxskd46p/sc/cae_h264_delogo/1648720820032252958/mda-ncv1qd3acxskd46p.mp4,,,,,,,,,,,CCSH.txt,941,200
DJ舞曲《拼命的喝酒拼命的抽烟》,https://vd2.bdstatic.com/mda-nd1n5vscnn77rui2/sc/cae_h264_delogo/1648915878369422268/mda-nd1n5vscnn77rui2.mp4,,,,,,,,,,,CCSH.txt,937,200
DJ《连锁反应》,https://vd2.bdstatic.com/mda-na26q8vkv1hegaw4/sc/cae_h264/1641186067929723723/mda-na26q8vkv1hegaw4.mp4,,,,,,,,,,,CCSH.txt,792,200
邢台综合,https://t.freetv.fun/live/xing-tai-zong-he-4.m3u8,,,,,,,,,,,CCSH.txt,5,403
黑龙江都市,https://stream1.freetv.fun/ipv6-hei-long-jiang-du-shi-3.m3u8,,,,,,,,,,,CCSH.txt,5,403
DJ老歌60-70-80爱听,https://vd2.bdstatic.com/mda-nd59vsq0r1e2j3g2/sc/cae_h264_delogo/1649230737582909591/mda-nd59vsq0r1e2j3g2.mp4,,,,,,,,,,,CCSH.txt,953,200
津南一套,http://play.jinnantv.top/live/JNTV1.m3u8?ztianjd,,,,,津南一套,,,,,,TianmuTNT.txt,963,200
DJ舞曲,https://vd2.bdstatic.com/mda-ncp5ggtppe1c0gw0/720p/h264_delogo/1648094099072851708/mda-ncp5ggtppe1c0gw0.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1648813542-0-0-b75fb95e3bd44e8af5cc964483db1b1a&bcevod_channel=searchbox_feed&pd=1&vt=1&cd=0&watermark=0&did=ced9e69a4f6154e91be590c1d5a488ab&logid=0942439256&vid=12262793352915624883&pt=0&appver=7.2.1.10&model=T7-5G10&osver=9&cr=2&abtest=peav_g52&sle=1&sl=2303&split=1993062&dt=0&nt=0&kpdl=1&h265_m=-1&klogid=0000000000000000&kapid=1&psp=1&psk=8&pif=0_0_0_0&qtfc=65535&qtut=0&stg=none,,,,,,,,,,,CCSH.txt,964,200
涪陵电视台,http://183.64.215.48:1002/1.m3u8,,,,,,,,,,,CCSH.txt,994,200
黑龙江卫视,http://218.13.170.98:9901/tsfile/live/1006_1.m3u8,,,,,黑龙江卫视,,,,,,TianmuTNT.txt,560,200
CCTV6,http://222.169.85.8:9901/tsfile/live/0006_1.m3u8,,,,,CCTV6,,,,,,TianmuTNT.txt,301,200
邢台综合,https://t.freetv.fun/live/xing-tai-zong-he-1.m3u8,,,,,,,,,,,CCSH.txt,5,403
DJ《醉过多少回》,https://vd4.bdstatic.com/mda-megp46e98a4f2b9g/sc/h264/1621239560364992817/mda-megp46e98a4f2b9g.mp4,,,,,,,,,,,CCSH.txt,354,200
黑龙江都市,https://stream1.freetv.fun/ipv6-hei-long-jiang-du-shi-16.m3u8,,,,,,,,,,,CCSH.txt,5,403
DJ舞曲,https://vd4.bdstatic.com/mda-idpg23napy9gsnxb/logo/sc/mda-idpg23napy9gsnxb.mp4,,,,,,,,,,,CCSH.txt,1041,200
飞碟之谜01,https://hls.cntv.lxdns.com/asp/hls/2000/0303000a/3/default/f0a47e155d32450daa1d36a04fd7d262/2000.m3u8,,,,,飞碟之谜01,,,,,,TianmuTNT.txt,1088,200
春晚2023,https://alimov2.a.kwimgs.com/upic/2023/01/13/20/BMjAyMzAxMTMyMDA5MjJfNDAzMDAxOTlfOTM0OTkwNDQ2MTZfMF8z_b_B4851f43f5a2bc2871a9b0ec87294a6e7.mp4,,,,,,,,,,,CCSH.txt,1096,200
福建文体,http://8.138.7.223/tv/fjtv1.php?id=fjwt,,,,,,,,,,,CCSH.txt,330,302
福建少儿,http://8.138.7.223/tv/fjtv.php?id=2,,,,,,,,,,,CCSH.txt,680,302
辽宁公共,https://stream1.freetv.fun/liao-zhu-gong-gong-2.m3u8,,,,,,,,,,,CCSH.txt,6,403
四川卫视,http://222.169.85.8:9901/tsfile/live/0123_1.m3u8,,,,,四川卫视,,,,,,TianmuTNT.txt,301,200
辽宁公共,http://120.76.248.139/live/bfgd/4200000481.m3u8,,,,,,,,,,,CCSH.txt,371,200
邢台综合,https://t.freetv.fun/live/xing-tai-zong-he.m3u8,,,,,,,,,,,CCSH.txt,5,403
黑龙江都市,https://stream1.freetv.fun/ipv6-hei-long-jiang-du-shi-12.m3u8,,,,,,,,,,,CCSH.txt,4,403
CCTV6,http://61.136.172.236:9901/tsfile/live/0006_1.m3u8,,,,,CCTV6,,,,,,TianmuTNT.txt,291,200
一首《爱一回错一回》DJ版,https://vd4.bdstatic.com/mda-mbim69siwwsgwp7d/v1-cae/1080p/mda-mbim69siwwsgwp7d.mp4,,,,,,,,,,,CCSH.txt,11,200
浙江卫视,http://ali-m-l.cztv.com:80/channels/lantian/channel001/1080p.m3u8,,,,,浙江卫视,,,,,,TianmuTNT.txt,1271,200
浙江国际,http://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8,,,,,浙江国际,,,,,,TianmuTNT.txt,1281,200
乌镇蓝印花布,https://gcalic.v.myalicdn.com/gc/zjwzlyhb_1/index.m3u8,,,,,,,,,,,CCSH.txt,1282,200
丽江古城万古楼遥望玉龙雪山,https://gcalic.v.myalicdn.com/gc/ljgcwglytylxs_1/index.m3u8,,,,,,,,,,,CCSH.txt,1306,200
黄山始信新道,https://gcalic.v.myalicdn.com/gc/hsyg_1/index.m3u8,,,,,黄山始信新道,,,,,,TianmuTNT.txt,1314,200
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8,,,,,浙江卫视,,,,,,TianmuTNT.txt,1320,200
云南丽江玉龙雪山草甸,https://gcalic.v.myalicdn.com/gc/hkylxs06_1/index.m3u8,,,,,,,,,,,CCSH.txt,1191,200
邢台综合,https://stream1.freetv.fun/xing-tai-zong-he-7.ctv,,,,,,,,,,,CCSH.txt,5,403
浙江少儿,http://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8,,,,,浙江少儿,,,,,,TianmuTNT.txt,1192,200
黑龙江都市,https://stream1.freetv.fun/ipv6-hei-long-jiang-du-shi-14.m3u8,,,,,,,,,,,CCSH.txt,5,403
厦门鼓浪屿,https://gcalic.v.myalicdn.com/gc/gly01_1/index.m3u8,,,,,厦门鼓浪屿,,,,,,TianmuTNT.txt,1352,200
云南丽江印象实景,https://gcalic.v.myalicdn.com/gc/hkylxs01_1/index.m3u8,,,,,,,,,,,CCSH.txt,1349,200
黄花城水长城03,https://gcalic.v.myalicdn.com/gc/wgw03_1/index.m3u8,,,,,黄花城水长城03,,,,,,TianmuTNT.txt,1353,200
黄山,https://gcalic.v.myalicdn.com/gc/ahhs01_1/index.m3u8,,,,,黄山,,,,,,TianmuTNT.txt,1358,200
浙江公共新闻,http://ali-m-l.cztv.com/channels/lantian/channel07/1080p.m3u8,,,,,浙江公共新闻,,,,,,TianmuTNT.txt,1364,200
邢台综合,https://stream1.freetv.fun/xing-tai-zong-he-4.m3u8,,,,,,,,,,,CCSH.txt,5,403
云南白沙远眺玉龙雪山,https://gcalic.v.myalicdn.com/gc/hkylxs03_1/index.m3u8,,,,,,,,,,,CCSH.txt,1221,200
黑龙江都市,https://stream1.freetv.fun/ipv6-hei-long-jiang-du-shi-2.m3u8,,,,,,,,,,,CCSH.txt,5,403
浙江教科影视,http://ali-m-l.cztv.com/channels/lantian/channel04/1080p.m3u8,,,,,浙江教科影视,,,,,,TianmuTNT.txt,670,200
浙江国际,http://ali-m-l.cztv.com/channels/lantian/channel010/720p.m3u8,,,,,浙江国际,,,,,,TianmuTNT.txt,1404,200
辽宁公共,http://120.76.248.139/live/bfgd/4200000077.m3u8,,,,,,,,,,,CCSH.txt,496,200
六盘山红军长征景区,https://gcalic.v.myalicdn.com/gc/lpsgmjng01_1/index.m3u8,,,,,,,,,,,CCSH.txt,789,200
浙江民生,http://ali-m-l.cztv.com/channels/lantian/channel06/720p.m3u8,,,,,浙江民生,,,,,,TianmuTNT.txt,527,200
福建新闻,https://stream1.freetv.fun/fu-jian-xin-wen-5.m3u8,,,,,,,,,,,CCSH.txt,5,403
CCTV7,http://112.46.85.60:8009/hls/504/index.m3u8,,,,,CCTV7,,,,,,TianmuTNT.txt,258,200
邢台综合,https://stream1.freetv.fun/xing-tai-zong-he-6.m3u8,,,,,,,,,,,CCSH.txt,5,403
玛纳斯综合,http://218.84.127.245:1026/hls/main1/playlist.m3u8?zxinjd,,,,,,,,,,,CCSH.txt,1520,200
四川卫视,http://61.136.172.236:9901/tsfile/live/0123_1.m3u8,,,,,四川卫视,,,,,,TianmuTNT.txt,291,200
辽宁北方,http://120.76.248.139/live/bfgd/4200000071.m3u8,,,,,,,,,,,CCSH.txt,251,200
CCTV7,http://112.27.235.94:8000/hls/8/index.m3u8,,,,,CCTV7,,,,,,TianmuTNT.txt,210,200
浙江民生,http://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8,,,,,浙江民生,,,,,,TianmuTNT.txt,247,200
浙江民生,http://ali-m-l.cztv.com/channels/lantian/channel06/1080p.m3u8,,,,,浙江民生,,,,,,TianmuTNT.txt,333,200
福建新闻,https://stream1.freetv.fun/fu-jian-xin-wen-4.m3u8,,,,,,,,,,,CCSH.txt,5,403
