频道名,地址,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件,检测时间,状态码,ffprobe是否成功,视频编码,分辨率,帧率,音频,ffprobe探测时间,是否假源,是否轮回,轮回相似度,检测信息
Eduvision (1080p),https://stmv3.voxtvhd.com.br/conex2/conex2/playlist.m3u8,Eduvision.co@SD,,,,https://i.imgur.com/ppBdqel.png,Education,1920x1080,iptv-org-all.txt,1847,200,成功,h264,1920x1080,25.0,有音频,1.145,否,否,0.5312,
Classic TV Comedy,http://cfd-v4-service-channel-stitcher-use1-1.prd.pluto.tv/stitch/hls/channel/5f15e32b297f96000768f928/master.m3u8?appName=web&appVersion=unknown&clientTime=0&deviceDNT=0&deviceId=6c27e004-30d3-11ef-9cf5-e9ddff8ff496&deviceMake=Chrome&deviceModel=web&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&serverSideAds=false&sid=518ef377-f53a-4652-8bcc-2dc596ce4106,ClassicTVComedy.us@SD,,,,https://i.imgur.com/wg5I5Fb.png,Comedy,512x288,iptv-org-all.txt,64,200,成功,h264,512x288,30.0,有音频,1.121,否,否,0.5573,
DD Haryana,https://d2lk5u59tns74c.cloudfront.net/out/v1/950fc69666474351bde0a32b9600c804/index.m3u8,DDHaryana.in@SD,,,,https://ltsk-cdn.s3.eu-west-1.amazonaws.com/jumpstart/Temp_Live/cdn/HLS/Channel/transparentImages/DD-Haryana-Logo_2000_X_1125_Transpharent.png,General,896x504,iptv-org-all.txt,226,200,成功,h264,896x504,25.0,有音频,2.012,否,否,0.6042,
CDN (480p),http://38.159.227.126:8000/play/a05d/index.m3u8,CDN.do@SD,,,,https://i.imgur.com/eQyjIgf.png,General,544x480,iptv-org-all.txt,144,200,成功,h264,544x480,59.94005994005994,有音频,0.714,否,否,0.5521,
ETV Manisa (1080p) [Not 24/7],https://edge1.socialsmart.tv/manisaetv/bant1/playlist.m3u8,ETVManisa.tr@SD,,,,https://i.ibb.co/QKXtdkz/sOd3INg.png,Undefined,1920x1080,iptv-org-all.txt,661,200,成功,h264,1920x1080,25.0,有音频,2.139,否,否,0.6042,
èTv Rete 7 (720p),https://live.ipstream.it/etv/etv.stream/playlist.m3u8,eTvRete7.it@SD,,,,https://i.imgur.com/xYVI5OC.png,News,1280x720,iptv-org-all.txt,569,200,成功,h264,1280x720,25.0,有音频,2.266,否,否,0.5938,
Dheeran TV (576p),https://live.we2live.in/dheerantv/dheerantv/playlist.m3u8,DheeranTV.in@SD,,,,https://i.imgur.com/jSedjXf.png,Religious,720x576,iptv-org-all.txt,2191,200,成功,h264,720x576,25.0,有音频,2.186,否,否,0.5521,
Colome TV [Not 24/7],https://ss2.tvrdomi.com:1936/colometv/colometv/playlist.m3u8,ColomeTV.do@HD,,,,https://colometv.com/assets/images/logo.png,General,1092x614,iptv-org-all.txt,40,200,成功,h264,1092x614,30.0,有音频,1.502,否,否,0.5938,
City TV Capital City Connection [Not 24/7],https://capitalcityconnection.cablecast.tv/live/stream-1/live.m3u8,CapitalCityConnectionMontgomery.us@SD,,,,https://image.roku.com/developer_channels/prod/a2cb55884ff88035ebbbb32ef9c60a228314d0a2ac4c86722aff5ea1cb9abcd8.png,Legislative,640x360,iptv-org-all.txt,1396,200,成功,h264,640x360,30.0,有音频,2.119,否,否,0.6719,
Chef Roc Show (720p) [Not 24/7],https://rpn.bozztv.com/gusa/gusa-chefrock/index.m3u8,ChefRocShow.us@SD,,,,https://i.imgur.com/vhVnAzE.png,Cooking,1280x720,iptv-org-all.txt,29,200,成功,h264,1280x720,29.97002997002997,有音频,0.956,否,否,0.5833,
COStv,https://irctv.cablecast.tv/live/stream-1/live.m3u8,COStv.us@SD,,,,https://i.imgur.com/IVqjCRE.png,Legislative,640x360,iptv-org-all.txt,735,200,成功,h264,640x360,30.0,有音频,2.470,否,否,0.6198,
Cowboy Movie Channel,https://streams2.sofast.tv/sofastplayout/32eb332e-f644-46e5-ad91-e55ad80d14f7_0_HLS/master.m3u8,,,,,,Undefined,1920x1080,iptv-org-all.txt,320,200,成功,h264,1920x1080,25.0,有音频,3.561,否,否,0.5885,
Erfan Halgheh TV (720p),https://hls.erfanhalgheh.live/hls/stream.m3u8,ErfanHalghehTV.ca@SD,,,,https://i.ibb.co/mGC5BMR/erfan-halgheh-tv-au.png,Religious,1280x720,iptv-org-all.txt,1544,200,成功,h264,1280x720,25.0,有音频,2.256,否,否,0.5990,
Coral TV (480p),https://tv.mediacp.eu:8081/coraltv/index.m3u8,CoralTV.bo@SD,,,,https://i.ibb.co/xDrc5MD/CORALTv.png,General,1280x720,iptv-org-all.txt,1468,200,成功,h264,1280x720,29.97002997002997,有音频,2.952,否,否,0.5625,
Erz-TV Stollberg (576p),https://5acade5fc0c29.streamlock.net/kabeljournal/live2020.stream/playlist.m3u8,ErzTVStollberg.de@SD,,,,https://i.imgur.com/6FHl9B1.png,General,720x576,iptv-org-all.txt,2588,200,成功,h264,720x576,25.0,有音频,5.344,否,否,0.5990,
Couleur 3 (720p),https://rtsc3video.akamaized.net/hls/live/2042837/c3video/3/playlist.m3u8,Couleur3.ch@SD,,,,https://i.imgur.com/VOIwYYd.png,Music,416x234,iptv-org-all.txt,580,200,成功,h264,416x234,25.0,有音频,6.719,否,否,0.5417,
Cumbia Mix (720p),https://cloud.tvomix.com/CUMBIAMIX/index.m3u8,CumbiaMix.ar@HD,,,,https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/6901dfd41a05195b77301d7b/b306e57e4_Logo-TV-C.png,Music,1280x720,iptv-org-all.txt,1125,200,成功,h264,1280x720,25.0,有音频,1.822,否,否,0.5729,
Elive TV Brescia (720p) [Not 24/7],https://59d7d6f47d7fc.streamlock.net/elivebresciatv/elivebresciatv/playlist.m3u8,EliveTVBrescia.it@SD,,,,https://i.imgur.com/gZxjLph.png,General,1280x720,iptv-org-all.txt,112,200,成功,h264,1280x720,25.0,有音频,2.513,否,否,0.5469,
