频道名,地址,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件,检测时间,状态码,ffprobe是否成功,视频编码,分辨率,帧率,音频,ffprobe探测时间,是否假源,是否轮回,轮回相似度,检测信息
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8,,,,,,,1920x1080,CCSH.txt,12,200,成功,h264,1920x1080,29.97002997002997,有音频,0.206,否,否,0.5833,
澳门莲花,http://1033946631.cloudvdn.com/a.m3u8?domain=live-hdl.macaulotustv.com&player=1&streamid=lotustv:lotustv/macaulotustv&v3=1,,,,,,,1920x1080,CCSH.txt,879,200,成功,h264,1920x1080,25.0,有音频,2.263,否,否,0.5781,
雍正王朝,https://live.metshop.top/huya/11342439,,,,,,,640x480,CCSH.txt,894,200,成功,h264,640x480,24.0,有音频,1.633,否,否,0.6042,
NewTV超级电视剧,https://iptv.catvod.com/live.php?id=NewTV%E8%B6%85%E7%BA%A7%E7%94%B5%E8%A7%86%E5%89%A7,,,,,,,1920x1080,CCSH.txt,33,403,成功,h264,1920x1080,30.0,有音频,0.389,否,否,0.5156,
成龙,http://live.nctv.top/huya.php?id=11342386,,,,,,,1920x1036,CCSH.txt,3208,200,成功,h264,1920x1036,60.0,有音频,3.030,否,否,0.5729,
NewTV武搏世界,https://iptv.catvod.com/live.php?id=NewTV%E6%AD%A6%E6%90%8F%E4%B8%96%E7%95%8C,,,,,,,1920x1080,CCSH.txt,27,403,成功,h264,1920x1080,30.0,有音频,0.385,否,否,0.5156,
东森超视,http://38.64.72.148:80/hls/modn/list/2013/chunklist0.m3u8,,,,,,,1920x1080,CCSH.txt,68,200,成功,h264,1920x1080,29.97002997002997,有音频,0.498,否,否,0.5417,
千禧经典,http://php.jdshipin.com:8880/smt.php?id=Tvbclassic,,,,,,,960x540,CCSH.txt,2401,200,成功,h264,960x540,25.0,有音频,0.533,否,否,0.5365,
青海卫视,http://120.238.94.10:9901/tsfile/live/1073_1.m3u8,,,,,,,720x576,CCSH.txt,446,200,成功,h264,720x576,25.0,有音频,6.001,否,否,0.5521,
雍正王朝,http://live.nctv.top/douyu.php?id=6911044,,,,,,,1280x720,CCSH.txt,2242,200,成功,h264,1280x720,30.0,有音频,6.006,否,否,0.5833,
陕西卫视,http://222.169.85.8:9901/tsfile/live/0136_1.m3u8,,,,,,,1920x1080,CCSH.txt,249,200,成功,h264,1920x1080,50.0,有音频,3.132,否,否,0.5521,
星空卫视,http://122.224.58.42:85/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0,,,,,,,1920x1080,CCSH.txt,444,200,成功,h264,1920x1080,25.0,有音频,8.647,否,否,0.5885,
CHC家庭影院,http://eastscreen.tv/ooooo.php?id=chcjt,,,,,,,640x480,CCSH.txt,1480,200,成功,mpeg2video,640x480,25.0,无音频,0.430,否,否,0.7448,
TVB星河,https://mgev.188766.xyz/?migutoken=7f604dd9a03611483f74c8ff662f7d3d&id=hk_tvbxh&type=dy,,,,,,,1920x1080,CCSH.txt,32,403,成功,h264,1920x1080,28.0,有音频,0.450,否,否,0.5000,
重庆卫视,http://113.15.109.216:59901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0,,,,,,,720x576,CCSH.txt,204,200,成功,h264,720x576,50.0,有音频,2.941,否,否,0.5781,
电影_推荐,http://live.nctv.top/huya.php?id=11602041,,,,,,,1280x696,CCSH.txt,974,200,成功,h264,1280x696,25.0,有音频,1.478,否,否,0.5833,
灾难片,https://live.metshop.top/huya/11602075,,,,,,,1280x546,CCSH.txt,1751,200,成功,h264,1280x546,30.0,有音频,1.395,否,否,0.0000,all_grab_failed
内蒙古卫视,http://120.76.248.139/live/bfgd/4200000110.m3u8,,,,,,,1280x720,CCSH.txt,2219,200,成功,h264,1280x720,25.0,有音频,7.543,否,否,0.5677,
神探狄仁杰,http://zzy789.xyz/douyu1.php?id=5875025,,,,,,,1280x720,CCSH.txt,5139,200,成功,h264,1280x720,30.0,有音频,7.440,否,否,0.5625,
CHC家庭影院,https://iptv.catvod.com/live.php?id=CHC%E5%AE%B6%E5%BA%AD%E5%BD%B1%E9%99%A2%E5%8F%B0,,,,,,,1280x720,CCSH.txt,31,403,成功,h264,1280x720,25.0,有音频,7.484,否,否,0.6302,
电影_李连杰,http://live.nctv.top/huya.php?id=11342390,,,,,,,1920x1036,CCSH.txt,3108,200,成功,h264,1920x1036,60.0,有音频,1.553,否,否,0.5573,
电影_枪战,http://live.nctv.top/huya.php?id=21059579,,,,,,,1280x720,CCSH.txt,1882,200,成功,h264,1280x720,30.0,有音频,1.805,否,否,0.0000,all_grab_failed
内蒙古卫视,http://112.27.235.94:8000/hls/49/index.m3u8,,,,,,,720x576,CCSH.txt,155,200,成功,mpeg2video,720x576,25.0,有音频,1.647,否,否,0.5938,
繁花,http://cfss.cc/cdn/hy/21059580.flv,,,,,,,1920x1080,CCSH.txt,1605,200,成功,h264,1920x1080,25.0,有音频,3.094,否,否,0.0000,all_grab_failed
千禧经典,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbc,,,,,,,960x540,CCSH.txt,2404,200,成功,h264,960x540,25.0,有音频,0.344,否,否,0.5156,
黑龙江卫视,http://113.15.109.216:59901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0,,,,,,,720x576,CCSH.txt,203,200,成功,h264,720x576,50.0,有音频,1.494,否,否,0.5469,
青海卫视,https://iptv.catvod.com/live.php?id=%E9%9D%92%E6%B5%B7%E5%8D%AB%E8%A7%86,,,,,,,1920x1080,CCSH.txt,496,403,成功,h264,1920x1080,25.0,有音频,9.897,否,否,0.5781,
凤凰中文,http://27.41.245.32:801/hls/205/index.m3u8,,,,,,,720x576,CCSH.txt,392,200,成功,mpeg2video,720x576,25.0,有音频,1.857,否,否,0.5625,
周星星,https://www.goodiptv.club/huya/11342412,,,,,,,1920x1036,CCSH.txt,893,200,成功,h264,1920x1036,60.0,有音频,1.123,否,否,0.0000,all_grab_failed
陕西卫视,http://124.116.183.146:9901/tsfile/live/0136_1.m3u8,,,,,,,720x576,CCSH.txt,279,200,成功,h264,720x576,50.0,有音频,2.888,否,否,0.5677,
人间卫视,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u,,,,,,,1280x720,CCSH.txt,272,200,成功,h264,1280x720,29.97002997002997,有音频,1.981,否,否,0.5625,
台视新闻,https://live.wcetv.com/hls/master-ttvnews.m3u8,,,,,,,1920x1080,CCSH.txt,478,200,成功,h264,1920x1080,29.97002997002997,有音频,0.550,否,否,0.5729,
陕西卫视,http://36.32.174.67:60080/newlive/live/hls/44/live.m3u8,,,,,,,720x576,CCSH.txt,354,200,成功,h264,720x576,25.0,有音频,2.886,否,否,0.6302,
中天娱乐,http://61.221.215.25:8800/hls/47/index.m3u8,,,,,,,1280x720,CCSH.txt,140,200,成功,h264,1280x720,25.0,有音频,1.336,否,否,0.5781,
TVB明珠,http://grandprix2023.asuscomm.com:8892/bysid/2.m3u8,,,,,,,1920x1080,CCSH.txt,583,200,成功,h264,1920x1080,25.0,有音频,5.878,否,否,0.5885,
重庆卫视,http://222.169.85.8:9901/tsfile/live/0142_1.m3u8,,,,,,,1920x1080,CCSH.txt,250,200,成功,h264,1920x1080,25.0,有音频,12.920,否,否,0.5729,
林正英,http://live.nctv.top/huya.php?id=11342421,,,,,,,1920x1036,CCSH.txt,3491,200,成功,h264,1920x1036,60.0,有音频,2.189,否,否,0.5208,
内蒙古卫视,http://221.2.148.205:8154/tsfile/live/0109_1.m3u8?key=txiptv&playlive=1&authid=0,,,,,,,720x576,CCSH.txt,2658,200,成功,h264,720x576,50.0,有音频,19.061,否,否,0.0000,all_grab_failed
TVB无线新闻,http://bxtv.3a.ink/api.php?id=wxxw,,,,,,,1920x1080,CCSH.txt,947,200,成功,hevc,1920x1080,50.0,有音频,3.582,否,否,0.7344,
辽宁卫视,http://61.184.46.85:9901/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0,,,,,,,1920x1080,CCSH.txt,717,200,成功,h264,1920x1080,50.0,有音频,8.986,否,否,0.5469,
中天新闻,http://222.128.55.152:9080/live/fc.m3u8,,,,,,,1920x1080,CCSH.txt,603,200,成功,h264,1920x1080,30.0,有音频,2.723,否,否,0.5521,
